Entity,Code,Year,"Deaths that are from all causes attributed to no access to handwashing facility per 100,000 people, in both sexes aged all ages"
High Income (WB),,1990,0.5514393
High Income (WB),,1995,0.5381409
High Income (WB),,2000,0.51060706
High Income (WB),,2005,0.5008479
High Income (WB),,2010,0.51110655
High Income (WB),,2015,0.53553545
High Income (WB),,2019,0.57033986
Low Income (WB),,1990,87.354095
Low Income (WB),,1995,78.860535
Low Income (WB),,2000,66.41958
Low Income (WB),,2005,52.126694
Low Income (WB),,2010,41.277435
Low Income (WB),,2015,33.4453
Low Income (WB),,2019,27.593773
Lower Middle Income (WB),,1990,40.600315
Lower Middle Income (WB),,1995,34.091705
Lower Middle Income (WB),,2000,28.599464
Lower Middle Income (WB),,2005,22.993357
Lower Middle Income (WB),,2010,19.103464
Lower Middle Income (WB),,2015,14.695195
Lower Middle Income (WB),,2019,12.263919
Middle Income (WB),,1990,5.993148
Middle Income (WB),,1995,4.107587
Middle Income (WB),,2000,2.740585
Middle Income (WB),,2005,2.0408607
Middle Income (WB),,2010,1.6226771
Middle Income (WB),,2015,1.461923
Middle Income (WB),,2019,1.3474501
World,OWID_WRL,1990,22.432302
World,OWID_WRL,1995,19.427475
World,OWID_WRL,2000,16.58968
World,OWID_WRL,2005,13.680325
World,OWID_WRL,2010,11.59002
World,OWID_WRL,2015,9.442242
World,OWID_WRL,2019,8.115306
