Entity,Code,Year,Deaths - All causes - Sex: Both - Age: 70+ years (Number),Deaths - All causes - Sex: Both - Age: 50-69 years (Number),Deaths - All causes - Sex: Both - Age: 15-49 years (Number),Deaths - All causes - Sex: Both - Age: 5-14 years (Number),Deaths - All causes - Sex: Both - Age: Under 5 (Number)
World,OWID_WRL,1990,15536563,11063201,6787823,1273621,11981203
World,OWID_WRL,1992,16218514,11392006,7107935,1272384,11523143
World,OWID_WRL,1994,16990884,11784366,7899174,1305651,11143632
World,OWID_WRL,1996,17601710,11719576,7955935,1207090,10619114
World,OWID_WRL,1998,18373402,11781630,8279852,1199152,10153572
World,OWID_WRL,2000,19316384,11911301,8693615,1151784,9642910
World,OWID_WRL,2002,20262448,12214439,8756630,1063767,9158365
World,OWID_WRL,2004,20832655,12399961,8878754,1044444,8720993
World,OWID_WRL,2006,21541217,12473875,8640747,973977,8232088
World,OWID_WRL,2008,22452978,12697622,8596594,953626,7765956
World,OWID_WRL,2010,23199000,12913450,8371353,925902,7302984
World,OWID_WRL,2012,23987060,13266859,7961131,841740,6800853
World,OWID_WRL,2014,25069932,13632174,7711710,779291,6330647
World,OWID_WRL,2016,26053541,14391551,7563864,737430,5801200
World,OWID_WRL,2019,28407810,14967547,7431023,677012,5043568
