Entity,Code,Year,"Deaths that are from all causes attributed to drug use, in both sexes aged all ages"
Guinea,GIN,1990,15.8883705
Guinea,GIN,1995,45.05064
Guinea,GIN,2000,103.82587
Guinea,GIN,2005,156.02734
Guinea,GIN,2010,135.63164
Guinea,GIN,2015,167.74657
Guinea,GIN,2019,161.28172
Micronesia (country),FSM,1990,5.2826533
Micronesia (country),FSM,1995,5.4672737
Micronesia (country),FSM,2000,5.6483436
Micronesia (country),FSM,2005,5.628938
Micronesia (country),FSM,2010,6.1783614
Micronesia (country),FSM,2015,7.2085757
Micronesia (country),FSM,2019,8.127179
