Entity,Code,Year,Deaths - Alcohol use disorders - Sex: Both - Age: All Ages (Number)
Colombia,COL,1990,88
Colombia,COL,1995,76
Colombia,COL,2000,84
Colombia,COL,2005,93
Colombia,COL,2010,112
Colombia,COL,2015,112
Colombia,COL,2019,124
Finland,FIN,1990,237
Finland,FIN,1995,362
Finland,FIN,2000,694
Finland,FIN,2005,767
Finland,FIN,2010,674
Finland,FIN,2015,571
Finland,FIN,2019,565
Latvia,LVA,1990,325
Latvia,LVA,1995,532
Latvia,LVA,2000,428
Latvia,LVA,2005,347
Latvia,LVA,2010,300
Latvia,LVA,2015,294
Latvia,LVA,2019,285
Netherlands,NLD,1990,150
Netherlands,NLD,1995,220
Netherlands,NLD,2000,337
Netherlands,NLD,2005,312
Netherlands,NLD,2010,315
Netherlands,NLD,2015,476
Netherlands,NLD,2019,480
Russia,RUS,1990,27077
Russia,RUS,1995,50338
Russia,RUS,2000,50326
Russia,RUS,2005,52546
Russia,RUS,2010,33886
Russia,RUS,2015,27643
Russia,RUS,2019,28460
Ukraine,UKR,1990,7503
Ukraine,UKR,1995,12174
Ukraine,UKR,2000,12304
Ukraine,UKR,2005,12951
Ukraine,UKR,2010,8380
Ukraine,UKR,2015,7349
Ukraine,UKR,2019,7716
United States,USA,1990,6763
United States,USA,1995,7484
United States,USA,2000,8666
United States,USA,2005,10356
United States,USA,2010,11831
United States,USA,2015,14005
United States,USA,2019,14044
