Entity,Code,Year,Deaths - Infectious diseases - OWID - Sex: Both - Age: All Ages (Number)
Afghanistan,AFG,1990,57148
Afghanistan,AFG,1995,84173
Afghanistan,AFG,2000,88177
Afghanistan,AFG,2005,70774
Afghanistan,AFG,2010,56661
Afghanistan,AFG,2015,46920
Afghanistan,AFG,2019,41151
Algeria,DZA,1990,18240
Algeria,DZA,1995,14065
Algeria,DZA,2000,10582
Algeria,DZA,2005,8958
Algeria,DZA,2010,8524
Algeria,DZA,2015,8871
Algeria,DZA,2019,8608
Antigua and Barbuda,ATG,1990,35
Antigua and Barbuda,ATG,1995,41
Antigua and Barbuda,ATG,2000,42
Antigua and Barbuda,ATG,2005,38
Antigua and Barbuda,ATG,2010,38
Antigua and Barbuda,ATG,2015,42
Antigua and Barbuda,ATG,2019,41
