Entity,Code,Year,Total deaths
Drought,,1900,1261000
Drought,,1910,85000
Drought,,1920,524000
Drought,,1940,20000
Drought,,1960,0
Drought,,1965,1502000
Drought,,1970,0
Drought,,1980,3000
Drought,,1985,0
Drought,,1990,0
Drought,,1995,0
Drought,,2000,59
Drought,,2005,149
Drought,,2010,20000
Drought,,2015,35
Drought,,2023,0
Dry mass movement,,1905,18
Dry mass movement,,1955,3
Dry mass movement,,1980,50
Dry mass movement,,1985,300
Dry mass movement,,1990,73
Dry mass movement,,2000,11
Dry mass movement,,2015,13
Earthquake,,1900,140
Earthquake,,1905,20729
Earthquake,,1910,2522
Earthquake,,1915,30156
Earthquake,,1920,182648
Earthquake,,1925,6140
Earthquake,,1930,5563
Earthquake,,1935,67412
Earthquake,,1940,1402
Earthquake,,1945,6943
Earthquake,,1950,1950
Earthquake,,1955,489
Earthquake,,1960,18831
Earthquake,,1965,695
Earthquake,,1970,78181
Earthquake,,1975,4632
Earthquake,,1980,7639
Earthquake,,1985,9852
Earthquake,,1990,42845
Earthquake,,1995,7739
Earthquake,,2000,217
Earthquake,,2005,76241
Earthquake,,2010,226733
Earthquake,,2015,9550
Earthquake,,2023,54652
Extreme temperature,,1955,107
Extreme temperature,,1965,100
Extreme temperature,,1975,140
Extreme temperature,,1980,1389
Extreme temperature,,1985,456
Extreme temperature,,1990,979
Extreme temperature,,1995,1730
Extreme temperature,,2000,934
Extreme temperature,,2005,2627
Extreme temperature,,2010,57088
Extreme temperature,,2015,7425
Extreme temperature,,2023,207
Extreme weather,,1900,6000
Extreme weather,,1905,240
Extreme weather,,1910,30
Extreme weather,,1915,2125
Extreme weather,,1920,224
Extreme weather,,1925,819
Extreme weather,,1930,4082
Extreme weather,,1935,62707
Extreme weather,,1940,123
Extreme weather,,1945,4415
Extreme weather,,1950,873
Extreme weather,,1955,3895
Extreme weather,,1960,9164
Extreme weather,,1965,59932
Extreme weather,,1970,304495
Extreme weather,,1975,1041
Extreme weather,,1980,1379
Extreme weather,,1985,17165
Extreme weather,,1990,4604
Extreme weather,,1995,3763
Extreme weather,,2000,1354
Extreme weather,,2005,5251
Extreme weather,,2010,1564
Extreme weather,,2015,1288
Extreme weather,,2023,1425
Flood,,1900,300
Flood,,1910,1379
Flood,,1915,0
Flood,,1920,0
Flood,,1925,0
Flood,,1935,142000
Flood,,1940,125
Flood,,1950,3808
Flood,,1955,584
Flood,,1960,10577
Flood,,1965,1401
Flood,,1970,3246
Flood,,1975,20796
Flood,,1980,10466
Flood,,1985,4376
Flood,,1990,2251
Flood,,1995,7948
Flood,,2000,6025
Flood,,2005,5742
Flood,,2010,8356
Flood,,2015,3479
Flood,,2023,5156
Landslide,,1910,62
Landslide,,1915,56
Landslide,,1930,40
Landslide,,1950,130
Landslide,,1955,478
Landslide,,1960,52
Landslide,,1965,230
Landslide,,1970,228
Landslide,,1975,195
Landslide,,1980,300
Landslide,,1985,377
Landslide,,1990,141
Landslide,,1995,1521
Landslide,,2000,1012
Landslide,,2005,664
Landslide,,2010,3427
Landslide,,2015,1006
Landslide,,2023,412
Volcanic activity,,1900,30
Volcanic activity,,1930,1369
Volcanic activity,,1945,0
Volcanic activity,,1950,84
Volcanic activity,,1960,0
Volcanic activity,,1965,355
Volcanic activity,,1975,2
Volcanic activity,,1980,90
Volcanic activity,,1985,21800
Volcanic activity,,1990,33
Volcanic activity,,1995,0
Volcanic activity,,2000,0
Volcanic activity,,2005,3
Volcanic activity,,2010,323
Volcanic activity,,2015,0
Volcanic activity,,2023,0
Wildfire,,1965,0
Wildfire,,1970,0
Wildfire,,1980,0
Wildfire,,1985,51
Wildfire,,1990,0
Wildfire,,1995,29
Wildfire,,2000,47
Wildfire,,2005,45
Wildfire,,2010,166
Wildfire,,2015,78
Wildfire,,2023,310
