Entity,Code,Year,Deaths in ongoing conflicts in a country (best estimate) - Conflict type: one-sided violence
Afghanistan,AFG,1989,0
Afghanistan,AFG,1995,4
Afghanistan,AFG,2000,152
Afghanistan,AFG,2005,114
Afghanistan,AFG,2010,185
Afghanistan,AFG,2015,174
Afghanistan,AFG,2020,338
Afghanistan,AFG,2022,637
Eritrea,ERI,1989,666
Eritrea,ERI,1995,0
Eritrea,ERI,2000,0
Eritrea,ERI,2005,0
Eritrea,ERI,2010,0
Eritrea,ERI,2015,0
Eritrea,ERI,2020,65
Eritrea,ERI,2022,12
Ethiopia,ETH,1989,345
Ethiopia,ETH,1995,0
Ethiopia,ETH,2000,0
Ethiopia,ETH,2005,0
Ethiopia,ETH,2010,0
Ethiopia,ETH,2015,258
Ethiopia,ETH,2020,2625
Ethiopia,ETH,2022,1806
Iraq,IRQ,1989,5
Iraq,IRQ,1995,103
Iraq,IRQ,2000,0
Iraq,IRQ,2005,903
Iraq,IRQ,2010,738
Iraq,IRQ,2015,1139
Iraq,IRQ,2020,56
Iraq,IRQ,2022,11
Mexico,MEX,1989,0
Mexico,MEX,1995,0
Mexico,MEX,2000,0
Mexico,MEX,2005,0
Mexico,MEX,2010,83
Mexico,MEX,2015,0
Mexico,MEX,2020,0
Mexico,MEX,2022,81
Syria,SYR,1989,0
Syria,SYR,1995,0
Syria,SYR,2000,0
Syria,SYR,2005,0
Syria,SYR,2010,0
Syria,SYR,2015,1761
Syria,SYR,2020,72
Syria,SYR,2022,73
Ukraine,UKR,1989,0
Ukraine,UKR,1995,0
Ukraine,UKR,2000,0
Ukraine,UKR,2005,0
Ukraine,UKR,2010,0
Ukraine,UKR,2015,0
Ukraine,UKR,2020,0
Ukraine,UKR,2022,1112
