Entity,Code,Year,Deaths - Neonatal preterm birth - Sex: Both - Age: Under 5 (Rate),"GDP per capita, PPP (constant 2017 international $)",Population (historical estimates),Continent
Africa,,2019,,,1327701380.0,
Asia,,2019,,,4627738749.0,
Bangladesh,BGD,2019,54.83,5467.208,165516224.0,
Belarus,BLR,2019,7.33,19279.209,9673971.0,
Belize,BLZ,2019,67.02,9028.552,389103.0,
Benin,BEN,2019,211.47,3156.439,12290443.0,
Bermuda,BMU,2019,9.16,81681.73,63833.0,
Brazil,BRA,2019,71.26,14685.128,211782880.0,
Burkina Faso,BFA,2019,151.86,2110.0623,20951638.0,
Burundi,BDI,2019,107.98,729.65845,11874838.0,
Cameroon,CMR,2019,138.4,3756.5095,25782342.0,
Canada,CAN,2019,22.79,49171.51,37522584.0,
Central African Republic,CAF,2019,262.61,861.7668,5209329.0,
Chad,TCD,2019,184.23,1561.9967,16126868.0,
Chile,CHL,2019,29.89,24816.611,19039484.0,
China,CHN,2019,27.16,15977.764,1421864064.0,
Congo,COG,2019,112.85,3695.0618,5570736.0,
Croatia,HRV,2019,8.54,29352.79,4129749.0,
Democratic Republic of Congo,COD,2019,126.39,1059.8921,89906896.0,
Djibouti,DJI,2019,105.6,4768.113,1073999.0,
Egypt,EGY,2019,14.68,11180.697,105618672.0,
Estonia,EST,2019,4.76,36153.434,1327039.0,
Ethiopia,ETH,2019,95.94,2181.659,114120592.0,
Europe,,2019,,,747418251.0,
France,FRA,2019,8.74,45922.793,64399760.0,
Germany,DEU,2019,16.08,53874.316,83148144.0,
Guinea-Bissau,GNB,2019,193.17,1890.5331,1970460.0,
Haiti,HTI,2019,102.21,3101.5942,11160441.0,
Iceland,ISL,2019,11.3,56923.17,360787.0,
India,IND,2019,141.46,6608.624,1383112064.0,
Indonesia,IDN,2019,90.29,11857.789,269582880.0,
Italy,ITA,2019,10.8,42739.05,59727936.0,
Jamaica,JAM,2019,124.55,10244.366,2813776.0,
Japan,JPN,2019,3.78,41697.41,125791680.0,
Kazakhstan,KAZ,2019,42.83,26351.805,18754260.0,
Kenya,KEN,2019,67.99,4601.2114,50951452.0,
Kuwait,KWT,2019,57.74,47314.797,4441105.0,
Latvia,LVA,2019,3.81,31038.68,1916552.0,
Lithuania,LTU,2019,6.8,37184.453,2849083.0,
Malawi,MWI,2019,100.07,1517.7031,18867340.0,
Mali,MLI,2019,261.4,2219.0466,20567430.0,
Malta,MLT,2019,34.04,45433.918,503646.0,
Mauritania,MRT,2019,126.53,5505.6465,4383853.0,
Mauritius,MUS,2019,67.63,23681.58,1296284.0,
Mexico,MEX,2019,51.35,20064.5,125085312.0,
Moldova,MDA,2019,19.38,13030.183,3109496.0,
Morocco,MAR,2019,93.82,8217.599,36304408.0,
Nepal,NPL,2019,26.65,3922.0813,28832500.0,
Nicaragua,NIC,2019,41.4,5348.9873,6663919.0,
Niger,NER,2019,160.52,1217.446,23443400.0,
North America,,2019,,,590497015.0,
Oceania,,2019,,,43278474.0,
Pakistan,PAK,2019,194.58,5157.5464,223293280.0,
Palestine,PSE,2019,75.35,6245.4487,4909775.0,
Peru,PER,2019,43.04,12735.168,32824864.0,
Philippines,PHL,2019,78.36,8731.861,110380800.0,
Poland,POL,2019,20.22,33159.75,38493600.0,
Qatar,QAT,2019,46.37,90840.43,2807242.0,
Russia,RUS,2019,11.65,27254.574,145742288.0,
Singapore,SGP,2019,4.7,98283.31,5866408.0,
Slovakia,SVK,2019,29.04,31973.46,5453932.0,
Solomon Islands,SLB,2019,61.27,2616.863,675000.0,
South Africa,ZAF,2019,125.21,13852.206,58087060.0,
South America,,2019,,,428318218.0,
South Korea,KOR,2019,13.14,42758.59,51803832.0,
Sweden,SWE,2019,6.94,52850.57,10267922.0,
Switzerland,CHE,2019,14.06,70857.086,8575593.0,
Thailand,THA,2019,22.89,18003.672,71307768.0,
Turkey,TUR,2019,78.09,28150.059,83481688.0,
United Kingdom,GBR,2019,28.29,47362.266,66778660.0,
United States,USA,2019,33.59,62478.254,334319680.0,
Vietnam,VNM,2019,51.27,10252.005,95776712.0,
Zambia,ZMB,2019,77.88,3372.359,18380478.0,
