Entity,Code,Year,Deaths - Stroke - Sex: Both - Age: All Ages (Number)
Afghanistan,AFG,1990,12072
Afghanistan,AFG,1995,13762
Afghanistan,AFG,2000,15127
Afghanistan,AFG,2005,15337
Afghanistan,AFG,2010,15138
Afghanistan,AFG,2015,15714
Afghanistan,AFG,2019,16816
Japan,JPN,1990,127566
Japan,JPN,1995,130975
Japan,JPN,2000,125343
Japan,JPN,2005,126956
Japan,JPN,2010,126929
Japan,JPN,2015,129905
Japan,JPN,2019,144662
Region of the Americas (WHO),,1990,403779
Region of the Americas (WHO),,1995,427651
Region of the Americas (WHO),,2000,439707
Region of the Americas (WHO),,2005,437922
Region of the Americas (WHO),,2010,444032
Region of the Americas (WHO),,2015,477712
Region of the Americas (WHO),,2019,526436
Taiwan,TWN,1990,16606
Taiwan,TWN,1995,15971
Taiwan,TWN,2000,14624
Taiwan,TWN,2005,14057
Taiwan,TWN,2010,12130
Taiwan,TWN,2015,12810
Taiwan,TWN,2019,14923
Vanuatu,VUT,1990,115
Vanuatu,VUT,1995,141
Vanuatu,VUT,2000,156
Vanuatu,VUT,2005,175
Vanuatu,VUT,2010,216
Vanuatu,VUT,2015,260
Vanuatu,VUT,2019,293
