Entity,Code,Year,Deaths in ongoing conflicts in a country (best estimate) - Conflict type: all
Afghanistan,AFG,1989,5411
Afghanistan,AFG,1995,5610
Afghanistan,AFG,2000,5387
Afghanistan,AFG,2005,1700
Afghanistan,AFG,2010,7151
Afghanistan,AFG,2015,17926
Afghanistan,AFG,2020,20808
Afghanistan,AFG,2022,1498
Eritrea,ERI,1989,6602
Eritrea,ERI,1995,0
Eritrea,ERI,2000,50000
Eritrea,ERI,2005,0
Eritrea,ERI,2010,0
Eritrea,ERI,2015,0
Eritrea,ERI,2020,67
Eritrea,ERI,2022,40
Ethiopia,ETH,1989,18769
Ethiopia,ETH,1995,1029
Ethiopia,ETH,2000,442
Ethiopia,ETH,2005,247
Ethiopia,ETH,2010,31
Ethiopia,ETH,2015,318
Ethiopia,ETH,2020,4819
Ethiopia,ETH,2022,102860
Iraq,IRQ,1989,56
Iraq,IRQ,1995,1347
Iraq,IRQ,2000,185
Iraq,IRQ,2005,3511
Iraq,IRQ,2010,1853
Iraq,IRQ,2015,11302
Iraq,IRQ,2020,911
Iraq,IRQ,2022,819
Mexico,MEX,1989,2
Mexico,MEX,1995,1
Mexico,MEX,2000,0
Mexico,MEX,2005,204
Mexico,MEX,2010,3610
Mexico,MEX,2015,1613
Mexico,MEX,2020,16364
Mexico,MEX,2022,14207
Syria,SYR,1989,1
Syria,SYR,1995,0
Syria,SYR,2000,0
Syria,SYR,2005,0
Syria,SYR,2010,0
Syria,SYR,2015,58614
Syria,SYR,2020,5632
Syria,SYR,2022,1574
Ukraine,UKR,1989,0
Ukraine,UKR,1995,0
Ukraine,UKR,2000,0
Ukraine,UKR,2005,0
Ukraine,UKR,2010,0
Ukraine,UKR,2015,1786
Ukraine,UKR,2020,196
Ukraine,UKR,2022,82588
