Entity,Code,Year,Deaths in ongoing conflicts in a country (best estimate) - Conflict type: interstate
Antigua and Barbuda,ATG,1989,0
Antigua and Barbuda,ATG,1995,0
Antigua and Barbuda,ATG,2000,0
Antigua and Barbuda,ATG,2005,0
Antigua and Barbuda,ATG,2010,0
Antigua and Barbuda,ATG,2015,0
Antigua and Barbuda,ATG,2020,0
Antigua and Barbuda,ATG,2022,0
Bulgaria,BGR,1989,0
Bulgaria,BGR,1995,0
Bulgaria,BGR,2000,0
Bulgaria,BGR,2005,0
Bulgaria,BGR,2010,0
Bulgaria,BGR,2015,0
Bulgaria,BGR,2020,0
Bulgaria,BGR,2022,0
Japan,JPN,1989,0
Japan,JPN,1995,0
Japan,JPN,2000,0
Japan,JPN,2005,0
Japan,JPN,2010,0
Japan,JPN,2015,0
Japan,JPN,2020,0
Japan,JPN,2022,0
Liechtenstein,LIE,1989,0
Liechtenstein,LIE,1995,0
Liechtenstein,LIE,2000,0
Liechtenstein,LIE,2005,0
Liechtenstein,LIE,2010,0
Liechtenstein,LIE,2015,0
Liechtenstein,LIE,2020,0
Liechtenstein,LIE,2022,0
Singapore,SGP,1989,0
Singapore,SGP,1995,0
Singapore,SGP,2000,0
Singapore,SGP,2005,0
Singapore,SGP,2010,0
Singapore,SGP,2015,0
Singapore,SGP,2020,0
Singapore,SGP,2022,0
Spain,ESP,1989,0
Spain,ESP,1995,0
Spain,ESP,2000,0
Spain,ESP,2005,0
Spain,ESP,2010,0
Spain,ESP,2015,0
Spain,ESP,2020,0
Spain,ESP,2022,0
Uganda,UGA,1989,0
Uganda,UGA,1995,0
Uganda,UGA,2000,0
Uganda,UGA,2005,0
Uganda,UGA,2010,0
Uganda,UGA,2015,0
Uganda,UGA,2020,0
Uganda,UGA,2022,0
