Entity,Code,Year,Deaths in ongoing conflicts (low estimate) - Hostility level: all
Africa,,1816,0
Africa,,1823,0
Africa,,1830,0
Africa,,1837,0
Africa,,1844,0
Africa,,1851,0
Africa,,1858,0
Africa,,1865,0
Africa,,1872,0
Africa,,1879,0
Africa,,1886,0
Africa,,1893,0
Africa,,1900,0
Africa,,1907,0
Africa,,1914,0
Africa,,1921,0
Africa,,1928,0
Africa,,1935,1450
Africa,,1942,2903
Africa,,1949,0
Africa,,1956,0
Africa,,1963,64
Africa,,1970,1
Africa,,1977,4724
Africa,,1984,207
Africa,,1991,3
Africa,,1998,2422
Africa,,2005,3
Africa,,2014,6
Americas,,1816,0
Americas,,1823,0
Americas,,1830,0
Americas,,1837,0
Americas,,1844,0
Americas,,1851,7
Americas,,1858,0
Americas,,1865,8131
Americas,,1872,0
Americas,,1879,2776
Americas,,1886,0
Americas,,1893,0
Americas,,1900,107
Americas,,1907,1338
Americas,,1914,324
Americas,,1921,38
Americas,,1928,4
Americas,,1935,10564
Americas,,1942,46003
Americas,,1949,0
Americas,,1956,16
Americas,,1963,10
Americas,,1970,6830
Americas,,1977,8
Americas,,1984,108
Americas,,1991,156
Americas,,1998,0
Americas,,2005,0
Americas,,2014,0
Asia and Oceania,,1816,0
Asia and Oceania,,1823,0
Asia and Oceania,,1830,0
Asia and Oceania,,1837,0
Asia and Oceania,,1844,0
Asia and Oceania,,1851,0
Asia and Oceania,,1858,0
Asia and Oceania,,1865,0
Asia and Oceania,,1872,0
Asia and Oceania,,1879,0
Asia and Oceania,,1886,0
Asia and Oceania,,1893,16
Asia and Oceania,,1900,2070
Asia and Oceania,,1907,0
Asia and Oceania,,1914,730
Asia and Oceania,,1921,250
Asia and Oceania,,1928,91
Asia and Oceania,,1935,137
Asia and Oceania,,1942,394284
Asia and Oceania,,1949,461
Asia and Oceania,,1956,51
Asia and Oceania,,1963,287
Asia and Oceania,,1970,70650
Asia and Oceania,,1977,299
Asia and Oceania,,1984,5586
Asia and Oceania,,1991,69
Asia and Oceania,,1998,30
Asia and Oceania,,2005,6
Asia and Oceania,,2014,13
Europe,,1816,0
Europe,,1823,170
Europe,,1830,0
Europe,,1837,0
Europe,,1844,0
Europe,,1851,0
Europe,,1858,0
Europe,,1865,426
Europe,,1872,0
Europe,,1879,0
Europe,,1886,0
Europe,,1893,209
Europe,,1900,116
Europe,,1907,0
Europe,,1914,1410987
Europe,,1921,6692
Europe,,1928,1
Europe,,1935,2856
Europe,,1942,2416295
Europe,,1949,4
Europe,,1956,3119
Europe,,1963,4
Europe,,1970,11
Europe,,1977,0
Europe,,1984,54
Europe,,1991,60
Europe,,1998,2
Europe,,2005,13
Europe,,2014,0
Middle East,,1816,0
Middle East,,1823,0
Middle East,,1830,0
Middle East,,1837,0
Middle East,,1844,0
Middle East,,1851,0
Middle East,,1858,0
Middle East,,1865,0
Middle East,,1872,0
Middle East,,1879,0
Middle East,,1886,0
Middle East,,1893,0
Middle East,,1900,0
Middle East,,1907,2
Middle East,,1914,140435
Middle East,,1921,6370
Middle East,,1928,0
Middle East,,1935,0
Middle East,,1942,0
Middle East,,1949,22
Middle East,,1956,1847
Middle East,,1963,62
Middle East,,1970,415
Middle East,,1977,69
Middle East,,1984,30000
Middle East,,1991,8232
Middle East,,1998,11
Middle East,,2005,0
Middle East,,2014,7
