Entity,Code,Year,"Deaths that are from all causes attributed to lead exposure, in both sexes aged all ages"
Angola,AGO,1990,573.36975
Angola,AGO,1995,697.6981
Angola,AGO,2000,808.2173
Angola,AGO,2005,888.4249
Angola,AGO,2010,991.4838
Angola,AGO,2015,1087.9655
Angola,AGO,2019,1220.0292
India,IND,1990,115043.12
India,IND,1995,130728.71
India,IND,2000,153653.14
India,IND,2005,162997.38
India,IND,2010,190418.33
India,IND,2015,216859.12
India,IND,2019,232512.92
Samoa,WSM,1990,3.3317835
Samoa,WSM,1995,3.5248163
Samoa,WSM,2000,3.6831112
Samoa,WSM,2005,3.9994442
Samoa,WSM,2010,4.146528
Samoa,WSM,2015,4.3028784
Samoa,WSM,2019,4.357051
