Entity,Code,Year,Share of total deaths in both sexes aged all ages years that are from ill-defined diseases
Brunei,BRN,2019,3.5856574
Croatia,HRV,2020,0.4612174
Croatia,HRV,2019,0.731745
Czechia,CZE,2021,2.180269
Czechia,CZE,2020,2.8432426
Czechia,CZE,2019,1.6980829
Ecuador,ECU,2021,3.8860595
Ecuador,ECU,2020,4.2210603
Ecuador,ECU,2019,5.576664
Malaysia,MYS,2020,5.4509645
Malaysia,MYS,2019,5.969917
Netherlands,NLD,2020,5.3320527
Netherlands,NLD,2019,5.334299
Saint Lucia,LCA,2020,3.1421838
Saint Lucia,LCA,2019,2.550232
Slovakia,SVK,2019,3.8020813
United Kingdom,GBR,2020,2.6047974
United Kingdom,GBR,2019,2.407117
