Entity,Code,Year,Democratic electoral institutions
Argentina,ARG,2005,11
Argentina,ARG,2008,11
Argentina,ARG,2010,11
Argentina,ARG,2012,11
Argentina,ARG,2014,11
Argentina,ARG,2016,11
Argentina,ARG,2018,11
Argentina,ARG,2020,11
Argentina,ARG,2022,11
Australia,AUS,2005,12
Australia,AUS,2008,12
Australia,AUS,2010,12
Australia,AUS,2012,12
Australia,AUS,2014,12
Australia,AUS,2016,12
Australia,AUS,2018,12
Australia,AUS,2020,12
Australia,AUS,2022,12
Botswana,BWA,2005,11
Botswana,BWA,2008,10
Botswana,BWA,2010,10
Botswana,BWA,2012,10
Botswana,BWA,2014,10
Botswana,BWA,2016,10
Botswana,BWA,2018,10
Botswana,BWA,2020,10
Botswana,BWA,2022,10
China,CHN,2005,0
China,CHN,2008,0
China,CHN,2010,0
China,CHN,2012,0
China,CHN,2014,0
China,CHN,2016,0
China,CHN,2018,0
China,CHN,2020,0
China,CHN,2022,0
