Entity,Code,Year,11.5.2 - Direct economic loss attributed to disasters relative to GDP (%) - VC_DSR_LSGP
Chile,CHL,2005,0.0
Chile,CHL,2006,0.0
Chile,CHL,2008,0.0
Chile,CHL,2010,0.02
Chile,CHL,2012,0.0
Chile,CHL,2014,0.0
Chile,CHL,2016,0.0
Chile,CHL,2018,0.0
Chile,CHL,2020,0.0
Chile,CHL,2021,0.0
Uganda,UGA,2006,0.0
Uganda,UGA,2008,0.0
Uganda,UGA,2010,0.0
Uganda,UGA,2012,0.0
Uganda,UGA,2014,0.0
Uganda,UGA,2016,0.0
Uganda,UGA,2020,0.09
Uganda,UGA,2021,0.09
United States,USA,2016,0.0
United States,USA,2018,0.0
United States,USA,2020,0.0
