Entity,Code,Year,dirpop_vote_vdem_owid
Cape Verde,CPV,1900,0.0
Cape Verde,CPV,1920,0.0
Cape Verde,CPV,1940,0.0
Cape Verde,CPV,1960,0.0
Cape Verde,CPV,1980,0.0
Cape Verde,CPV,2000,0.062
Cape Verde,CPV,2022,0.063
Equatorial Guinea,GNQ,1900,0.0
Equatorial Guinea,GNQ,1920,0.0
Equatorial Guinea,GNQ,1940,0.0
Equatorial Guinea,GNQ,1960,0.0
Equatorial Guinea,GNQ,1980,0.0
Equatorial Guinea,GNQ,2000,0.14
Equatorial Guinea,GNQ,2022,0.116
Ethiopia,ETH,1900,0.0
Ethiopia,ETH,1920,0.0
Ethiopia,ETH,1940,0.0
Ethiopia,ETH,1960,0.0
Ethiopia,ETH,1980,0.0
Ethiopia,ETH,2000,0.013
Ethiopia,ETH,2022,0.013
Russia,RUS,1900,0.0
Russia,RUS,1920,0.0
Russia,RUS,1940,0.02
Russia,RUS,1960,0.02
Russia,RUS,1980,0.033
Russia,RUS,2000,0.174
Russia,RUS,2022,0.229
