Entity,Code,Year,"DALYs (Disability-Adjusted Life Years) - Communicable, maternal, neonatal, and nutritional diseases - Sex: Both - Age: Age-standardized (Rate)","GDP per capita, PPP (constant 2017 international $)",Population (historical estimates),Continent
Afghanistan,AFG,2019,11651.19,2079.9219,37769496.0,
Africa,,2019,,,1327701380.0,
Armenia,ARM,2019,2629.81,14317.553,2820604.0,
Asia,,2019,,,4627738749.0,
Bangladesh,BGD,2019,8347.08,5467.208,165516224.0,
Bolivia,BOL,2019,7873.76,8528.749,11777318.0,
Brazil,BRA,2019,4838.17,14685.128,211782880.0,
Brunei,BRN,2019,2680.2,61424.363,438058.0,
Burkina Faso,BFA,2019,29326.57,2110.0623,20951638.0,
Burundi,BDI,2019,25348.62,729.65845,11874838.0,
Central African Republic,CAF,2019,50790.26,861.7668,5209329.0,
Chile,CHL,2019,1689.23,24816.611,19039484.0,
China,CHN,2019,1889.16,15977.764,1421864064.0,
Costa Rica,CRI,2019,2031.4,20818.062,5084527.0,
Democratic Republic of Congo,COD,2019,22429.73,1059.8921,89906896.0,
Dominican Republic,DOM,2019,6624.67,18171.06,10881886.0,
Egypt,EGY,2019,3641.5,11180.697,105618672.0,
Eswatini,SWZ,2019,33569.76,8501.267,1169620.0,
Ethiopia,ETH,2019,18035.96,2181.659,114120592.0,
Europe,,2019,,,747418251.0,
Finland,FIN,2019,688.26,48583.434,5521539.0,
Gabon,GAB,2019,15597.69,14478.002,2242788.0,
Germany,DEU,2019,1036.39,53874.316,83148144.0,
Greece,GRC,2019,1117.41,29721.586,10574026.0,
Guatemala,GTM,2019,6649.45,8671.703,17106338.0,
Honduras,HND,2019,4443.69,5613.6606,9958832.0,
India,IND,2019,11801.44,6608.624,1383112064.0,
Indonesia,IDN,2019,7587.9,11857.789,269582880.0,
Ireland,IRL,2019,962.84,86681.27,4896021.0,
Japan,JPN,2019,957.14,41697.41,125791680.0,
Kiribati,KIR,2019,14017.59,1990.518,124252.0,
Laos,LAO,2019,11072.63,7840.0713,7212058.0,
Latvia,LVA,2019,1742.81,31038.68,1916552.0,
Lesotho,LSO,2019,52129.21,2533.1191,2225710.0,
Malaysia,MYS,2019,4363.73,27674.402,32804024.0,
Mexico,MEX,2019,3246.79,20064.5,125085312.0,
Morocco,MAR,2019,4555.77,8217.599,36304408.0,
Mozambique,MOZ,2019,38518.81,1285.1848,30285602.0,
Namibia,NAM,2019,21531.13,10009.578,2446648.0,
Nicaragua,NIC,2019,3431.24,5348.9873,6663919.0,
Niger,NER,2019,30886.77,1217.446,23443400.0,
Nigeria,NGA,2019,29467.82,5076.368,203304496.0,
North America,,2019,,,590497015.0,
Oceania,,2019,,,43278474.0,
Pakistan,PAK,2019,17516.54,5157.5464,223293280.0,
Palestine,PSE,2019,2767.84,6245.4487,4909775.0,
Poland,POL,2019,1356.11,33159.75,38493600.0,
Romania,ROU,2019,2341.5,30006.336,19524212.0,
Russia,RUS,2019,2740.99,27254.574,145742288.0,
Saint Lucia,LCA,2019,4100.57,15460.801,178594.0,
Saudi Arabia,SAU,2019,2274.3,44954.992,35827364.0,
Senegal,SEN,2019,17668.7,3430.484,16000783.0,
Serbia,SRB,2019,1456.84,18310.08,7401056.0,
South Africa,ZAF,2019,23778.37,13852.206,58087060.0,
South America,,2019,,,428318218.0,
Sudan,SDN,2019,9282.64,4133.1304,43232092.0,
Sweden,SWE,2019,875.88,52850.57,10267922.0,
Tajikistan,TJK,2019,6552.81,3575.2798,9337008.0,
Tunisia,TUN,2019,2456.17,11100.82,12049319.0,
Ukraine,UKR,2019,3055.96,12804.955,44211100.0,
United Kingdom,GBR,2019,1380.82,47362.266,66778660.0,
United States,USA,2019,1597.44,62478.254,334319680.0,
Uzbekistan,UZB,2019,5633.95,7348.147,32976946.0,
Vanuatu,VUT,2019,8826.33,3070.3508,304414.0,
Zambia,ZMB,2019,25907.6,3372.359,18380478.0,
