Entity,Code,Year,Domestic guests in tourism accommodation (hotels and similar establishments),Foreign guests in tourism accommodation (hotels and similar establishments),Continent
Albania,ALB,2021,517000.0,657000.0,
Angola,AGO,2021,216000.0,67000.0,
Argentina,ARG,2021,10389000.0,221000.0,
Australia,AUS,2021,23403000.0,183000.0,
Austria,AUT,2021,7042000.0,8392000.0,
Azerbaijan,AZE,2021,901000.0,272000.0,
Belgium,BEL,2021,3996000.0,2313000.0,
Bolivia,BOL,2021,764000.0,90000.0,
Burkina Faso,BFA,2021,414000.0,106000.0,
Cape Verde,CPV,2021,34000.0,135000.0,
Chad,TCD,2021,10700.0,31500.0,
Croatia,HRV,2021,1111000.0,2971000.0,
Cyprus,CYP,2021,713000.0,1404000.0,
Czechia,CZE,2021,6324000.0,2345000.0,
Denmark,DNK,2021,5544000.0,1251000.0,
Ecuador,ECU,2021,1194200.0,499000.0,
Eswatini,SWZ,2021,106000.0,34000.0,
Finland,FIN,2021,6538000.0,696000.0,
France,FRA,2021,78458000.0,15454000.0,
Greece,GRC,2021,4465000.0,10131000.0,
Indonesia,IDN,2021,187368000.0,777000.0,
Israel,ISR,2021,6850000.0,277000.0,
Italy,ITA,2021,37612000.0,17107000.0,
Japan,JPN,2021,221243000.0,1836000.0,
Jordan,JOR,2021,944000.0,1003000.0,
Latvia,LVA,2021,566000.0,404000.0,
Liechtenstein,LIE,2021,2000.0,59800.0,
Luxembourg,LUX,2021,67000.0,587000.0,
Mali,MLI,2021,42800.0,45800.0,
Moldova,MDA,2021,61000.0,63000.0,
Monaco,MCO,2021,3200.0,218400.0,
Montenegro,MNE,2021,101000.0,630000.0,
Morocco,MAR,2021,2766000.0,876000.0,
Mozambique,MOZ,2021,159000.0,98000.0,
Netherlands,NLD,2021,13113000.0,4341000.0,
North Macedonia,MKD,2021,212000.0,284000.0,
Palestine,PSE,2021,58000.0,123000.0,
Peru,PER,2021,45715000.0,2056000.0,
Poland,POL,2021,14417000.0,2185000.0,
Portugal,PRT,2021,6710000.0,4714000.0,
Syria,SYR,2021,875000.0,129000.0,
