Entity,Code,Year,dom_auton_vdem_owid,dom_auton_vdem_high_owid,dom_auton_vdem_low_owid
Argentina,ARG,1789,-2.743,-1.802,-3.49
Argentina,ARG,1850,1.862,2.402,0.996
Argentina,ARG,1900,1.862,2.402,0.996
Argentina,ARG,1950,1.862,2.402,0.996
Argentina,ARG,2000,1.862,2.402,0.996
Argentina,ARG,2022,1.862,2.402,0.996
Australia,AUS,1789,-1.081,-0.316,-1.88
Australia,AUS,1850,-1.081,-0.316,-1.88
Australia,AUS,1900,0.21,0.622,-0.184
Australia,AUS,1950,1.939,2.53,1.155
Australia,AUS,2000,1.939,2.53,1.155
Australia,AUS,2022,1.939,2.53,1.155
Botswana,BWA,1900,-3.042,-2.16,-3.709
Botswana,BWA,1950,-3.042,-2.16,-3.709
Botswana,BWA,2000,1.931,2.547,1.176
Botswana,BWA,2022,1.678,2.39,0.905
China,CHN,1789,0.92,1.86,0.063
China,CHN,1850,-0.422,0.538,-1.215
China,CHN,1900,-1.152,-0.756,-1.458
China,CHN,1950,0.774,1.145,0.31
China,CHN,2000,2.258,2.823,1.455
China,CHN,2022,2.258,2.823,1.455
