Entity,Code,Year,Number of people employed in services (Herrendorf et al. data),Number of people employed in industry  (Herrendorf et al. data),number_employed_agri
United States,USA,1840,1268000.0,822000.0,3570000.0
United States,USA,1860,3004000.0,2226000.0,5880000.0
United States,USA,1880,4000000.0,4470000.0,8920000.0
United States,USA,1900,9193000.0,8197000.0,11680000.0
United States,USA,1920,17217000.0,13603000.0,10790000.0
United States,USA,1940,26509000.0,13915000.0,7589000.0
United States,USA,1960,39788000.0,20710000.0,4531000.0
United States,USA,1980,65996000.0,26633000.0,3275000.0
United States,USA,2000,103217000.0,27280000.0,2391836.1082630795
United States,USA,2015,118704000.0,21105000.0,2313448.3923739954
