Entity,Code,Year,Employment in agriculture (% of total employment) (modeled ILO estimate),Urban population (% of total population),Population (historical estimates),Continent
Africa,,2021,,,1393676724.0,
Algeria,DZA,2021,10.32379,74.261,44177964.0,
Angola,AGO,2021,58.65716,67.46,34503776.0,
Argentina,ARG,2021,7.652854,92.229,45276788.0,
Armenia,ARM,2021,30.28259,63.431,2790971.0,
Asia,,2021,,,4693332132.0,
Austria,AUT,2021,3.734066,58.995,8922086.0,
Barbados,BRB,2021,2.810211,31.246,281204.0,
Belarus,BLR,2021,8.087514,79.91,9578172.0,
Belgium,BEL,2021,0.9353765,98.117,11611416.0,
Benin,BEN,2021,28.14955,48.972,12996901.0,
Bolivia,BOL,2021,29.23412,70.475,12079474.0,
Brazil,BRA,2021,9.689179,87.317,214326224.0,
Burundi,BDI,2021,85.8503,14.058,12551215.0,
Cambodia,KHM,2021,38.85376,24.668,16589031.0,
Chad,TCD,2021,68.94536,23.781,17179744.0,
China,CHN,2021,24.40598,62.512,1425893504.0,
Colombia,COL,2021,15.92783,81.74,51516560.0,
Cote d'Ivoire,CIV,2021,45.03741,52.18,27478250.0,
Democratic Republic of Congo,COD,2021,55.2838,46.235,95894120.0,
Egypt,EGY,2021,19.82913,42.862,109262184.0,
Equatorial Guinea,GNQ,2021,55.5397,73.561,1634473.0,
Eswatini,SWZ,2021,12.40864,24.369,1192273.0,
Ethiopia,ETH,2021,63.66029,22.174,120283024.0,
Europe,,2021,,,746417727.0,
Gabon,GAB,2021,29.00427,90.423,2341185.0,
Gambia,GMB,2021,48.52188,63.222,2639922.0,
Guinea-Bissau,GNB,2021,50.33844,44.617,2060730.0,
High-income countries,,2021,3.0337222,81.46745,1219584303.0,
India,IND,2021,43.95999,35.393,1407563904.0,
Iran,IRN,2021,16.2515,76.345,87923432.0,
Iraq,IRQ,2021,19.81721,71.119,43533592.0,
Ireland,IRL,2021,4.492882,63.912,4986525.0,
Italy,ITA,2021,4.050314,71.346,59240336.0,
Jamaica,JAM,2021,15.54375,56.652,2827701.0,
Kenya,KEN,2021,33.03382,28.493,53005616.0,
Kyrgyzstan,KGZ,2021,16.57891,37.146,6527742.0,
Lesotho,LSO,2021,29.96631,29.48,2281464.0,
Low-income countries,,2021,58.753956,34.406948,698782037.0,
Lower-middle-income countries,,2021,38.34609,42.997166,3411037255.0,
Madagascar,MDG,2021,73.90013,39.207,28915652.0,
Maldives,MDV,2021,10.52856,41.102,521469.0,
Mauritius,MUS,2021,5.147591,40.775,1298922.0,
Mexico,MEX,2021,12.33283,81.016,126705136.0,
Morocco,MAR,2021,34.56329,64.065,37076588.0,
Mozambique,MOZ,2021,70.2906,37.628,32077074.0,
Niger,NER,2021,70.71602,16.751,25252722.0,
Nigeria,NGA,2021,35.20511,52.746,213401328.0,
North America,,2021,,,597123384.0,
North Korea,PRK,2021,43.50682,62.642,25971910.0,
Oceania,,2021,,,44492065.0,
Papua New Guinea,PNG,2021,17.18025,13.456,9949438.0,
Paraguay,PRY,2021,19.71427,62.496,6703802.0,
Peru,PER,2021,27.85823,78.5,33715464.0,
Philippines,PHL,2021,24.26836,47.684,113880336.0,
Poland,POL,2021,8.398766,60.075,38307724.0,
Romania,ROU,2021,18.60666,54.329,19328558.0,
Russia,RUS,2021,5.801941,74.934,145102752.0,
Rwanda,RWA,2021,54.66548,17.568,13461891.0,
South America,,2021,,,434254167.0,
Sri Lanka,LKA,2021,25.74604,18.86,21773438.0,
Sudan,SDN,2021,40.60549,35.593,45657204.0,
Suriname,SUR,2021,7.881003,66.219,612989.0,
Syria,SYR,2021,12.48579,56.124,21324366.0,
Tajikistan,TJK,2021,42.59705,27.726,9750078.0,
Tanzania,TZA,2021,64.26571,35.954,63588332.0,
Tonga,TON,2021,30.38091,23.104,106034.0,
Ukraine,UKR,2021,14.66618,69.757,43531424.0,
Upper-middle-income countries,,2021,21.614439,68.37537,2548718303.0,
Vanuatu,VUT,2021,48.01493,25.665,319146.0,
Venezuela,VEN,2021,13.09415,88.325,28199862.0,
Vietnam,VNM,2021,29.04434,38.052,97468024.0,
World,OWID_WRL,2021,26.417418,56.477543,7909295104.0,
