Entity,Code,Year,"Employment-to-population ratio, men (%)","Employment-to-population ratio, women (%)",Population (historical estimates),Continent
Afghanistan,AFG,2016,,,34636212.0,
Africa,,2016,,,1232111820.0,
Angola,AGO,2016,,,29154742.0,
Asia,,2016,,,4502955714.0,
Bahrain,BHR,2016,,,1409668.0,
Bangladesh,BGD,2016,79.4,33.19,159784576.0,
Belarus,BLR,2016,,,9708111.0,
Bosnia and Herzegovina,BIH,2016,42.51,22.45,3480985.0,
Brazil,BRA,2016,,,206859584.0,
Burundi,BDI,2016,,,10903329.0,
Cuba,CUB,2016,,,11342012.0,
East Timor,TLS,2016,,,1224568.0,
Egypt,EGY,2016,63.49,17.56,99784032.0,
Ethiopia,ETH,2016,,,105293232.0,
Europe,,2016,,,744516175.0,
France,FRA,2016,54.43,46.53,63989320.0,
India,IND,2016,,,1338636288.0,
Indonesia,IDN,2016,78.01,48.97,261850176.0,
Iran,IRN,2016,57.35,11.84,83306232.0,
Italy,ITA,2016,52.8,35.28,60118628.0,
Jordan,JOR,2016,,,9964659.0,
Kosovo,OWID_KOS,2016,38.27,11.12,1750724.0,
Libya,LBY,2016,,,6282202.0,
Mauritania,MRT,2016,,,4051896.0,
Mexico,MEX,2016,74.73,41.69,121519224.0,
Moldova,MDA,2016,42.96,38.96,3225125.0,
Monaco,MCO,2016,57.07,39.22,37090.0,
Mozambique,MOZ,2016,,,27696500.0,
Nepal,NPL,2016,,,27861186.0,
Nicaragua,NIC,2016,,,6389237.0,
Niger,NER,2016,,,20921748.0,
North America,,2016,,,576008328.0,
Oceania,,2016,,,41101240.0,
Oman,OMN,2016,82.078308481,98.453907369,4398080.0,
Panama,PAN,2016,74.92,47.65,4026338.0,
Qatar,QAT,2016,99.94,99.3,2595175.0,
Russia,RUS,2016,,,145109152.0,
Sierra Leone,SLE,2016,,,7493918.0,
South Africa,ZAF,2016,46.99,33.84,56422272.0,
South America,,2016,,,417101806.0,
South Korea,KOR,2016,71.05,50.21,51309984.0,
Spain,ESP,2016,52.63,41.7,46473320.0,
Sri Lanka,LKA,2016,,,21425494.0,
Sweden,SWE,2016,68.97,65.08,9953322.0,
Thailand,THA,2016,77.12,60.91,70607032.0,
Turkey,TUR,2016,65.09,28.0,81019400.0,
Uganda,UGA,2016,,,38748308.0,
Ukraine,UKR,2016,,,44833568.0,
United States,USA,2016,65.77,54.08,327210208.0,
Vietnam,VNM,2016,79.83,70.73,93126528.0,
Yemen,YEM,2016,,,29274010.0,
