Entity,Code,Year,net_energy_traded_goods
France,FRA,1995,255.2898571
France,FRA,2000,322.6626464
France,FRA,2005,457.8985119
France,FRA,2010,462.798622
France,FRA,2015,483.3306307
France,FRA,2020,502.8744194
India,IND,1995,-213.1718154
India,IND,2000,-248.1999056
India,IND,2005,-176.7650249
India,IND,2010,-160.9120916
India,IND,2015,-192.9815902
India,IND,2020,-180.0886024
Mexico,MEX,1995,-21.67562099
Mexico,MEX,2000,234.2043825
Mexico,MEX,2005,159.2503223
Mexico,MEX,2010,49.20462963
Mexico,MEX,2015,-56.49454556
Mexico,MEX,2020,-286.7239628
South Africa,ZAF,1995,-88.96180458
South Africa,ZAF,2000,-368.8741089
South Africa,ZAF,2005,-295.283889
South Africa,ZAF,2010,-333.4702563
South Africa,ZAF,2015,-359.5620366
South Africa,ZAF,2020,-574.204136
Spain,ESP,1995,106.2032011
Spain,ESP,2000,189.8512004
Spain,ESP,2005,325.7793765
Spain,ESP,2010,189.2088322
Spain,ESP,2015,68.85755416
Spain,ESP,2020,47.04779988
United Kingdom,GBR,1995,397.6646988
United Kingdom,GBR,2000,636.4429685
United Kingdom,GBR,2005,821.5475431
United Kingdom,GBR,2010,603.577629
United Kingdom,GBR,2015,728.2620058
United Kingdom,GBR,2020,641.8442061
