Entity,Code,Year,"Homicide rate per 100,000 population - Female - All ages"
Austria,AUT,1990,0.9960134
Austria,AUT,1995,0.925496
Austria,AUT,2000,1.2952437
Austria,AUT,2005,0.571906
Austria,AUT,2010,0.76914334
Austria,AUT,2015,0.3858364
Austria,AUT,2021,0.88281286
Grenada,GRD,2005,5.4890766
Grenada,GRD,2010,3.5412645
Grenada,GRD,2015,3.3806627
Grenada,GRD,2021,1.6063354
Sri Lanka,LKA,2010,1.583594
Sri Lanka,LKA,2015,1.007462
Sweden,SWE,2000,0.8232583
Sweden,SWE,2005,0.67126435
Sweden,SWE,2010,0.5733154
Sweden,SWE,2015,0.5896733
Sweden,SWE,2021,0.46201977
