Entity,Code,Year,"Homicide rate per 100,000 population - Female - All ages"
Americas (UN),,2000,3.2988179
Americas (UN),,2005,3.1654685
Americas (UN),,2010,3.4038317
Americas (UN),,2015,3.2711084
Americas (UN),,2021,3.351651
Asia (UN),,2000,1.9798492
Asia (UN),,2005,1.7616504
Asia (UN),,2010,1.6983248
Asia (UN),,2015,1.5152481
Asia (UN),,2021,1.4584241
Europe (UN),,2000,4.0257554
Europe (UN),,2005,3.3741477
Europe (UN),,2010,1.9392663
Europe (UN),,2015,1.8429911
Europe (UN),,2021,1.1800674
Oceania (UN),,2000,2.3096845
Oceania (UN),,2005,2.192618
Oceania (UN),,2010,2.2863963
Oceania (UN),,2015,2.0740466
Oceania (UN),,2021,1.6986253
World,OWID_WRL,2000,2.8092506
World,OWID_WRL,2005,2.5498512
World,OWID_WRL,2010,2.4010565
World,OWID_WRL,2015,2.288106
World,OWID_WRL,2021,2.2382565
