Entity,Code,Year,Number of homicides - Female - All ages
India,IND,2000,15195.721
India,IND,2005,15268.0
India,IND,2010,17871.0
India,IND,2015,17089.0
India,IND,2021,17012.375
Mexico,MEX,1990,1523.4148
Mexico,MEX,1995,1526.9562
Mexico,MEX,2000,1285.3168
Mexico,MEX,2005,1298.8329
Mexico,MEX,2010,2418.0
Mexico,MEX,2015,2383.0
Mexico,MEX,2021,4002.0
Russia,RUS,1990,5107.0
Russia,RUS,1995,10777.0
Russia,RUS,2000,10337.0
Russia,RUS,2005,8849.0
Russia,RUS,2010,4358.0
Russia,RUS,2015,4283.0
Russia,RUS,2021,2568.0
