Entity,Code,Year,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",Family benefits public spending (% GDP) (OECD (2016)),Population (historical estimates),Continent
Asia,,2015,,,4458250376.0,
Australia,AUS,2015,59.077,,23820240.0,Oceania
Austria,AUT,2015,55.359,,8642422.0,Europe
Belgium,BEL,2015,48.006,,11248306.0,Europe
Canada,CAN,2015,61.219,,35732120.0,North America
Chile,CHL,2015,48.462,1.728,17870122.0,South America
Czechia,CZE,2015,51.247,,10523801.0,Europe
Estonia,EST,2015,55.914,,1314658.0,Europe
Europe,,2015,,,743294457.0,
Finland,FIN,2015,55.595,,5479457.0,Europe
France,FRA,2015,51.587,,63809768.0,Europe
Germany,DEU,2015,54.719,,82073232.0,Europe
Greece,GRC,2015,44.673,,10806644.0,Europe
Hungary,HUN,2015,47.37,,9844250.0,Europe
Iceland,ISL,2015,73.099,,331068.0,Europe
Israel,ISR,2015,59.113,1.9,8007777.0,Asia
Italy,ITA,2015,39.786,,60232908.0,Europe
Japan,JPN,2015,49.569,,127250936.0,Asia
Latvia,LVA,2015,54.111,,1991951.0,Europe
Luxembourg,LUX,2015,54.563,,569415.0,Europe
Mexico,MEX,2015,43.2,,120149896.0,North America
New Zealand,NZL,2015,63.416,,4590591.0,Oceania
North America,,2015,,,570726015.0,
Norway,NOR,2015,62.29,,5190357.0,Europe
Oceania,,2015,,,40403644.0,
Slovenia,SVN,2015,51.879,,2080865.0,Europe
South America,,2015,,,413134461.0,
Spain,ESP,2015,53.134,,46431344.0,Europe
Sweden,SWE,2015,60.69,,9849344.0,Europe
Switzerland,CHE,2015,62.279,,8281735.0,Europe
Turkey,TUR,2015,31.608,,79646176.0,Asia
United Kingdom,GBR,2015,57.197,,65224368.0,Europe
United States,USA,2015,55.815,,324607776.0,North America
