Entity,Code,Year,Female to male ratio of time devoted to unpaid care work (OECD (2014))
Algeria,DZA,2014,6.75
Armenia,ARM,2014,5.24
China,CHN,2014,2.57
Colombia,COL,2014,3.23
Ecuador,ECU,2014,3.54
Estonia,EST,2014,1.92
France,FRA,2014,1.9
Guatemala,GTM,2014,3.02
India,IND,2014,9.83
Latvia,LVA,2014,2.15
Lesotho,LSO,2014,2.5
Mali,MLI,2014,17.29
Mexico,MEX,2014,3.32
Moldova,MDA,2014,1.77
North Macedonia,MKD,2014,3.23
Sweden,SWE,2014,1.49
Switzerland,CHE,2014,1.75
Thailand,THA,2014,1.77
Turkey,TUR,2014,6.22
Uganda,UGA,2014,1.18
United Kingdom,GBR,2014,1.85
