Entity,Code,Year,Fertility rate - Sex: all - Age: all - Variant: estimates,Fertility rate - Sex: all - Age: all - Variant: medium
Africa (UN),,1950,6.5856,
Africa (UN),,1960,6.6743,
Africa (UN),,1980,6.598,
Africa (UN),,2000,5.1759,
Africa (UN),,2020,4.3614,
Africa (UN),,2040,,3.267
Africa (UN),,2060,,2.5643
Africa (UN),,2080,,2.191
Africa (UN),,2100,,1.9933
Asia (UN),,1950,5.7054,
Asia (UN),,1960,5.1942,
Asia (UN),,1980,3.9139,
Asia (UN),,2000,2.5652,
Asia (UN),,2020,1.9836,
Asia (UN),,2040,,1.8477
Asia (UN),,2060,,1.8001
Asia (UN),,2080,,1.7451
Asia (UN),,2100,,1.711
Europe (UN),,1950,2.6966,
Europe (UN),,1960,2.5772,
Europe (UN),,1980,1.9252,
Europe (UN),,2000,1.418,
Europe (UN),,2020,1.4732,
Europe (UN),,2040,,1.6001
Europe (UN),,2060,,1.6411
Europe (UN),,2080,,1.6612
Europe (UN),,2100,,1.6721
Latin America and the Caribbean (UN),,1950,5.7971,
Latin America and the Caribbean (UN),,1960,5.8649,
Latin America and the Caribbean (UN),,1980,4.1604,
Latin America and the Caribbean (UN),,2000,2.6086,
Latin America and the Caribbean (UN),,2020,1.895,
Latin America and the Caribbean (UN),,2040,,1.7521
Latin America and the Caribbean (UN),,2060,,1.709
Latin America and the Caribbean (UN),,2080,,1.6822
Latin America and the Caribbean (UN),,2100,,1.6774
Northern America (UN),,1950,2.9742,
Northern America (UN),,1960,3.5827,
Northern America (UN),,1980,1.8213,
Northern America (UN),,2000,1.9933,
Northern America (UN),,2020,1.6252,
Northern America (UN),,2040,,1.6644
Northern America (UN),,2060,,1.6828
Northern America (UN),,2080,,1.6945
Northern America (UN),,2100,,1.6926
Oceania (UN),,1950,3.672,
Oceania (UN),,1960,4.1113,
Oceania (UN),,1980,2.6046,
Oceania (UN),,2000,2.4478,
Oceania (UN),,2020,2.1606,
Oceania (UN),,2040,,2.0237
Oceania (UN),,2060,,1.9068
Oceania (UN),,2080,,1.8334
Oceania (UN),,2100,,1.7744
World,OWID_WRL,1950,4.8596,
World,OWID_WRL,1960,4.6955,
World,OWID_WRL,1980,3.7498,
World,OWID_WRL,2000,2.7345,
World,OWID_WRL,2020,2.3485,
World,OWID_WRL,2040,,2.2046
World,OWID_WRL,2060,,2.0571
World,OWID_WRL,2080,,1.9238
World,OWID_WRL,2100,,1.8354
