Entity,Code,Year,Fertility rate - Sex: all - Age: all - Variant: estimates,Child mortality rate - Sex: all - Age: 0-4 - Variant: estimates,Population (historical estimates),Continent
Africa,,2021,,,1393676724.0,
Angola,AGO,2021,5.3044,6.88471,34503776.0,
Asia,,2021,,,4693332132.0,
Azerbaijan,AZE,2021,1.6638,1.86127,10312992.0,
Bhutan,BTN,2021,1.4132,2.68407,777500.0,
Bolivia,BOL,2021,2.6178,3.55129,12079474.0,
Botswana,BWA,2021,2.7914,4.44968,2588424.0,
British Virgin Islands,VGB,2021,1.0052,1.7115101,31145.0,
Burkina Faso,BFA,2021,4.7718,8.27705,22100690.0,
Burundi,BDI,2021,5.0779,5.24944,12551215.0,
Chad,TCD,2021,6.2549,10.66955,17179744.0,
China,CHN,2021,1.164,0.68583,1425893504.0,
Comoros,COM,2021,3.9777,5.85155,821632.0,
Democratic Republic of Congo,COD,2021,6.1564,7.8581495,95894120.0,
Djibouti,DJI,2021,2.8041,5.4339,1105562.0,
Ecuador,ECU,2021,2.0256,1.24514,17797736.0,
Egypt,EGY,2021,2.9174,1.88508,109262184.0,
Ethiopia,ETH,2021,4.1591,4.7206903,120283024.0,
Europe,,2021,,,746417727.0,
Guinea,GIN,2021,4.3987,9.30472,13531909.0,
Haiti,HTI,2021,2.8143,6.01092,11447575.0,
India,IND,2021,2.0308,3.11861,1407563904.0,
Indonesia,IDN,2021,2.1746,2.23194,273753184.0,
Iraq,IRQ,2021,3.4955,2.46205,43533592.0,
Israel,ISR,2021,2.9764,0.37339002,8900057.0,
Italy,ITA,2021,1.2825,0.27309,59240336.0,
Jamaica,JAM,2021,1.352,1.33336,2827701.0,
Kazakhstan,KAZ,2021,3.0836,0.99076,19196468.0,
Kenya,KEN,2021,3.3351,4.1131,53005616.0,
Laos,LAO,2021,2.4961,4.25943,7425055.0,
Lesotho,LSO,2021,3.0176,8.71052,2281464.0,
Liberia,LBR,2021,4.0885,7.54857,5193422.0,
Madagascar,MDG,2021,3.8514,4.87476,28915652.0,
Malawi,MWI,2021,3.9165,3.8196702,19889742.0,
Mayotte,MYT,2021,4.4392,0.48767,316022.0,
Monaco,MCO,2021,2.1109,0.41458997,36713.0,
Mozambique,MOZ,2021,4.6444,6.84142,32077074.0,
Myanmar,MMR,2021,2.1514,4.27911,53798088.0,
Niger,NER,2021,6.82,7.53853,25252722.0,
Nigeria,NGA,2021,5.2374,11.123549,213401328.0,
North America,,2021,,,597123384.0,
Oceania,,2021,,,44492065.0,
Pakistan,PAK,2021,3.4698,6.3176603,231402112.0,
Palau,PLW,2021,2.409,1.73272,18050.0,
Palestine,PSE,2021,3.5044,1.6384001,5133393.0,
Philippines,PHL,2021,2.7476,2.53896,113880336.0,
Saudi Arabia,SAU,2021,2.4266,0.68990004,35950396.0,
Senegal,SEN,2021,4.3871,3.6707,16876726.0,
Sierra Leone,SLE,2021,3.9779,9.950319,8420642.0,
Solomon Islands,SLB,2021,3.9832,1.87301,707855.0,
South America,,2021,,,434254167.0,
South Korea,KOR,2021,0.8799,0.29209,51830136.0,
South Sudan,SSD,2021,4.4692,9.95411,10748278.0,
Sudan,SDN,2021,4.4574,5.47112,45657204.0,
Tajikistan,TJK,2021,3.1855,3.13161,9750078.0,
Tanzania,TZA,2021,4.7259,4.5864897,63588332.0,
Togo,TGO,2021,4.2574,6.23662,8644829.0,
Tokelau,TKL,2021,2.707,0.58424,1869.0,
United States,USA,2021,1.6619,0.62975997,336997632.0,
Vietnam,VNM,2021,1.9437,2.0830798,97468024.0,
Zimbabwe,ZWE,2021,3.4908,5.2148,15993525.0,
