Entity,Code,Year,Nutrient nitrogen N (total) | 00003102 || Use per area of cropland | 005159 || Kilograms per hectare,"GDP per capita, PPP (constant 2017 international $)",Continent
Afghanistan,AFG,2020,5.33,1968.341,
Albania,ALB,2020,47.38,13256.125,
Algeria,DZA,2020,8.24,10844.7705,
Angola,AGO,2020,4.58,6032.275,
Antigua and Barbuda,ATG,2020,0.33,18275.69,
Argentina,ARG,2020,41.55,19685.217,
Armenia,ARM,2020,178.78,13357.697,
Australia,AUS,2020,43.15,48747.85,
Austria,AUT,2020,76.72,51988.414,
Azerbaijan,AZE,2020,90.11,13726.77,
Bahamas,BHS,2020,92.14,26659.238,
Bahrain,BHR,2020,386.69,47847.84,
Bangladesh,BGD,2020,146.42,5591.374,
Barbados,BRB,2020,21.9,13805.777,
Benin,BEN,2020,16.56,3186.478,
Bermuda,BMU,2020,122.85,76117.805,
Brunei,BRN,2020,24.3,61603.55,
Burkina Faso,BFA,2020,8.22,2093.7336,
Burundi,BDI,2020,4.44,711.3553,
Cambodia,KHM,2020,25.68,4276.1846,
Cameroon,CMR,2020,5.42,3665.5105,
Central African Republic,CAF,2020,0.11,847.765,
Chile,CHL,2020,143.89,23017.69,
Cote d'Ivoire,CIV,2020,8.19,5098.56,
Czechia,CZE,2020,112.63,38639.98,
Democratic Republic of Congo,COD,2020,1.54,1044.0712,
Dominica,DMA,2020,5.6,10255.761,
Egypt,EGY,2020,313.6,11380.847,
El Salvador,SLV,2020,45.9,8267.251,
Estonia,EST,2020,59.35,35883.266,
Ethiopia,ETH,2020,22.74,2253.2358,
Gambia,GMB,2020,0.05,2042.6202,
Greece,GRC,2020,63.02,27103.541,
Guatemala,GTM,2020,103.37,8390.223,
Honduras,HND,2020,53.97,5028.145,
Ireland,IRL,2020,198.98,91099.75,
Jamaica,JAM,2020,18.09,9198.148,
Kazakhstan,KAZ,2020,2.51,25361.508,
Kuwait,KWT,2020,178.57,43922.63,
Libya,LBY,2020,7.37,16924.15,
Malawi,MWI,2020,20.34,1489.6014,
Mexico,MEX,2020,61.91,18327.99,
Mozambique,MOZ,2020,8.05,1232.9856,
Namibia,NAM,2020,3.37,9048.184,
Nauru,NRU,2020,0.0,11958.172,
Nepal,NPL,2020,56.85,3761.8027,
Nicaragua,NIC,2020,37.52,5181.727,
Niger,NER,2020,0.34,1214.5465,
Panama,PAN,2020,26.89,25510.273,
Philippines,PHL,2020,67.15,7773.2603,
Qatar,QAT,2020,62.5,89019.07,
Russia,RUS,2020,15.52,26583.797,
Samoa,WSM,2020,0.26,6062.3667,
Tonga,TON,2020,2.71,6356.96,
Uganda,UGA,2020,0.85,2240.4902,
Zimbabwe,ZWE,2020,12.22,1990.3195,
