Entity,Code,Year,Subject:Gap in GDP per hour worked with respect to the USA - PDB_LV
Canada,CAN,1970,-13.875278
Canada,CAN,1980,-11.318319
Canada,CAN,1990,-16.537722
Canada,CAN,2000,-17.77015
Canada,CAN,2010,-25.387205
Canada,CAN,2016,-25.790879
European Union (28 countries),,2000,-25.904359
European Union (28 countries),,2010,-27.388004
European Union (28 countries),,2016,-23.27763
Finland,FIN,1970,-50.42903
Finland,FIN,1980,-35.895855
Finland,FIN,1990,-25.728423
Finland,FIN,2000,-15.140085
Finland,FIN,2010,-18.928177
Finland,FIN,2016,-16.857752
Germany,DEU,1970,-30.419025
Germany,DEU,1980,-13.249536
Germany,DEU,1990,-6.342774
Germany,DEU,2000,-4.998726
Germany,DEU,2010,-9.142948
Germany,DEU,2016,-2.36844
Greece,GRC,1990,-41.794439
Greece,GRC,2000,-43.068768
Greece,GRC,2010,-46.752025
Greece,GRC,2016,-50.028862
Iceland,ISL,1970,-46.010988
Iceland,ISL,1980,-23.058844
Iceland,ISL,1990,-25.967041
Iceland,ISL,2000,-36.162772
Iceland,ISL,2010,-35.805701
Iceland,ISL,2016,-32.703378
Japan,JPN,1970,-60.685745
Japan,JPN,1980,-48.617219
Japan,JPN,1990,-33.973734
Japan,JPN,2000,-30.078229
Japan,JPN,2010,-36.224883
Japan,JPN,2016,-32.753408
Mexico,MEX,2000,-69.783973
Mexico,MEX,2010,-71.823501
Mexico,MEX,2016,-71.492252
Spain,ESP,1970,-49.617644
Spain,ESP,1980,-31.252483
Spain,ESP,1990,-22.432418
Spain,ESP,2000,-26.735474
Spain,ESP,2010,-28.45098
Spain,ESP,2016,-24.975286
Sweden,SWE,1970,-18.567477
Sweden,SWE,1980,-11.201191
Sweden,SWE,1990,-14.503265
Sweden,SWE,2000,-9.744454
Sweden,SWE,2010,-14.271904
Sweden,SWE,2016,-12.369347
