Entity,Code,Year,Share of services in GDP at current prices (Herrendorf et al. and GGDC-10 data),GDP per capita,417485-annotations,Population (historical estimates),Continent
Africa,,2011,,,,1082676070.0,
Africa,,2016,,,,1232111820.0,
Argentina,ARG,2011,55.1,20003.0,,41520736.0,
Argentina,ARG,2016,,18875.0,,43668236.0,
Asia,,2011,,,,4268479060.0,
Asia,,2016,,,,4502955714.0,
Bolivia,BOL,2011,51.6,5331.0,,10396249.0,
Bolivia,BOL,2016,,6355.0,,11263016.0,
Brazil,BRA,2011,67.4,14831.0,,198185296.0,
Brazil,BRA,2016,,13873.0,,206859584.0,
China,CHN,2011,42.9,10221.0,,1357095424.0,
China,CHN,2016,,12569.0,,1401889664.0,
Colombia,COL,2011,55.1,11788.0,,45308896.0,
Colombia,COL,2016,,13326.0,,47625960.0,
Ethiopia,ETH,2011,42.0,1199.0,,91817936.0,
Ethiopia,ETH,2016,,1635.0,,105293232.0,
Europe,,2011,,,,738734474.0,
Europe,,2016,,,,744516175.0,
Ghana,GHA,2011,48.6,3283.0,,26205940.0,
Ghana,GHA,2016,,3878.0,,29554298.0,
Hong Kong,HKG,2011,94.3,44532.0,,7175370.0,
Hong Kong,HKG,2016,,48330.0,,7435925.0,
India,IND,2011,55.0,4768.0,,1257621248.0,
India,IND,2016,,6125.0,,1338636288.0,
Indonesia,IDN,2011,37.2,8849.0,,247099696.0,
Indonesia,IDN,2016,,10911.0,,261850176.0,
Italy,ITA,2011,65.5,35151.0,,60025952.0,
Italy,ITA,2016,,33419.0,,60118628.0,
Japan,JPN,2011,69.9,34979.0,,128007256.0,
Japan,JPN,2016,,37465.0,,126993856.0,
Kenya,KEN,2011,55.4,2712.0,,42635148.0,
Kenya,KEN,2016,,3169.0,,47894668.0,
Malawi,MWI,2011,,1102.0,,15146095.0,
Malawi,MWI,2016,,1112.0,,17405624.0,
Malaysia,MYS,2011,48.6,19390.0,,29184140.0,
Malaysia,MYS,2016,,23053.0,,31526414.0,
Mexico,MEX,2011,58.7,15210.0,,114150480.0,
Mexico,MEX,2016,,16133.0,,121519224.0,
Nigeria,NGA,2011,21.3,5136.0,,165463744.0,
Nigeria,NGA,2016,,5360.0,,188666928.0,
North America,,2011,,,,548684151.0,
North America,,2016,,,,576008328.0,
Peru,PER,2011,57.7,10044.0,,29477722.0,
Peru,PER,2016,,11776.0,,31132776.0,
Philippines,PHL,2011,57.5,5851.0,,96337912.0,
Philippines,PHL,2016,,7410.0,,104875272.0,
Senegal,SEN,2011,,2123.0,,12875878.0,
Senegal,SEN,2016,,2403.0,,14751356.0,
South America,,2011,,,,397135158.0,
South America,,2016,,,,417101806.0,
South Korea,KOR,2011,53.7,32225.0,,49169880.0,
South Korea,KOR,2016,,36103.0,,51309984.0,
Sweden,SWE,2011,,42079.0,,9467384.0,
Sweden,SWE,2016,,44659.0,,9953322.0,
Tanzania,TZA,2011,46.3,2227.0,,46416032.0,
Tanzania,TZA,2016,,2660.0,,54401804.0,
Thailand,THA,2011,45.0,13318.0,,68712848.0,
Thailand,THA,2016,,15454.0,,70607032.0,
United Kingdom,GBR,2011,74.8,34971.0,,63286360.0,
United Kingdom,GBR,2016,,37334.0,,65655204.0,
United States,USA,2011,80.4,49675.0,,313876608.0,
United States,USA,2016,81.9,53015.0,,327210208.0,
Venezuela,VEN,2011,41.5,17746.0,,29096158.0,
Venezuela,VEN,2016,,15219.0,,30741464.0,
