Entity,Code,Year,Global Hunger Index in 2017 (Global Hunger Index 2017),Population growth 1992-2015 (UN Population Division),Population (historical estimates),Continent
Afghanistan,AFG,2017,33.3,141.2984379,35643420.0,
Afghanistan,AFG,1992,,,12057436.0,
Afghanistan,AFG,2015,,,33753500.0,Asia
Africa,,2017,,78.47159058,1263333997.0,
Africa,,1992,,,671931834.0,
Africa,,2015,,,1201108186.0,
Albania,ALB,2017,11.1,-9.789430125,2879361.0,
Albania,ALB,1992,,,3303738.0,
Albania,ALB,2015,,,2882482.0,Europe
Algeria,DZA,2017,9.5,46.68845927,41136548.0,
Algeria,DZA,1992,,,26748302.0,
Algeria,DZA,2015,,,39543148.0,Africa
Armenia,ARM,2017,7.7,-15.27415106,2851929.0,
Armenia,ARM,1992,,,3574558.0,
Armenia,ARM,2015,,,2878598.0,Asia
Asia,,2017,,32.58615051,4547095064.0,
Asia,,1992,,,3324377494.0,
Asia,,2015,,,4458250376.0,
Bangladesh,BGD,2017,26.5,44.93624351,161793968.0,
Bangladesh,BGD,1992,,,111272104.0,
Bangladesh,BGD,2015,,,157830000.0,Asia
Bolivia,BOL,2017,17.2,50.38061715,11435535.0,
Bolivia,BOL,1992,,,7394417.0,
Bolivia,BOL,2015,,,11090090.0,South America
Botswana,BWA,2017,24.4,51.74796835,2401848.0,
Botswana,BWA,1992,,,1420696.0,
Botswana,BWA,2015,,,2305177.0,Africa
Brazil,BRA,2017,5.4,33.25336316,208504960.0,
Brazil,BRA,1992,,,155900784.0,
Brazil,BRA,2015,,,205188208.0,South America
Cambodia,KHM,2017,22.2,61.28076234,15830694.0,
Cambodia,KHM,1992,,,9718217.0,
Cambodia,KHM,2015,,,15417527.0,Asia
Central African Republic,CAF,2017,50.9,46.84700952,4996741.0,
Central African Republic,CAF,1992,,,2991733.0,
Central African Republic,CAF,2015,,,4819341.0,Africa
Chad,TCD,2017,43.5,120.652333,15085893.0,
Chad,TCD,1992,,,6302934.0,
Chad,TCD,2015,,,14140277.0,Africa
Chile,CHL,2017,2.5,29.92933307,18368582.0,
Chile,CHL,1992,,,13782300.0,
Chile,CHL,2015,,,17870122.0,South America
China,CHN,2017,7.5,16.03189571,1410275968.0,
China,CHN,1992,,,1183813376.0,
China,CHN,2015,,,1393715456.0,Asia
Congo,COG,2017,25.6,93.8525476,5312347.0,
Congo,COG,1992,,,2520964.0,
Congo,COG,2015,,,5064390.0,Africa
Cuba,CUB,2017,2.5,6.783232804,11336405.0,
Cuba,CUB,1992,,,10783745.0,
Cuba,CUB,2015,,,11339888.0,North America
East Timor,TLS,2017,34.3,54.07537542,1243238.0,
East Timor,TLS,1992,,,783708.0,
East Timor,TLS,2015,,,1205822.0,Asia
Egypt,EGY,2017,14.7,56.20443199,101789384.0,
Egypt,EGY,1992,,,59989148.0,
Egypt,EGY,2015,,,97723792.0,Africa
Ethiopia,ETH,2017,32.3,93.37337482,108197944.0,
Ethiopia,ETH,1992,,,52011560.0,
Ethiopia,ETH,2015,,,102471896.0,Africa
Europe,,2017,,2.138965851,745657647.0,
Europe,,1992,,,726070329.0,
Europe,,2015,,,743294457.0,
Gabon,GAB,2017,13.8,92.11915085,2140225.0,
Gabon,GAB,1992,,,1037451.0,
Gabon,GAB,2015,,,2028524.0,Africa
Gambia,GMB,2017,23.2,101.8529822,2381189.0,
Gambia,GMB,1992,,,1127156.0,
Gambia,GMB,2015,,,2253137.0,Africa
Georgia,GEO,2017,7.7,-25.41600872,3771904.0,
Georgia,GEO,1992,,,5239325.0,
Georgia,GEO,2015,,,3771135.0,Asia
Ghana,GHA,2017,16.2,78.36963541,30222266.0,
Ghana,GHA,1992,,,16241548.0,
Ghana,GHA,2015,,,28870946.0,Africa
Guinea,GIN,2017,28.6,78.89958303,12240791.0,
Guinea,GIN,1992,,,6832196.0,
Guinea,GIN,2015,,,11626003.0,Africa
Guyana,GUY,2017,13.7,2.724110921,763265.0,
Guyana,GUY,1992,,,744999.0,
Guyana,GUY,2015,,,755043.0,South America
Honduras,HND,2017,14.3,70.75283984,9626845.0,
Honduras,HND,1992,,,5344774.0,
Honduras,HND,2015,,,9294510.0,North America
India,IND,2017,31.4,44.48382307,1354195712.0,
India,IND,1992,,,907574080.0,
India,IND,2015,,,1322866560.0,Asia
Indonesia,IDN,2017,22.0,37.49133496,264498848.0,
Indonesia,IDN,1992,,,188558416.0,
Indonesia,IDN,2015,,,259091968.0,Asia
Iran,IRN,2017,7.6,36.21606591,84505080.0,
Iran,IRN,1992,,,59372016.0,
Iran,IRN,2015,,,81790848.0,Asia
Iraq,IRQ,2017,22.9,95.66193605,39621156.0,
Iraq,IRQ,1992,,,18385682.0,
Iraq,IRQ,2015,,,37757812.0,Asia
Jordan,JOR,2017,6.7,130.8176659,10215384.0,
Jordan,JOR,1992,,,3866894.0,
Jordan,JOR,2015,,,9494250.0,Asia
Kazakhstan,KAZ,2017,5.8,7.696901295,18314822.0,
Kazakhstan,KAZ,1992,,,17043420.0,
Kazakhstan,KAZ,2015,,,17835908.0,Asia
Kenya,KEN,2017,21.0,89.21784586,48948140.0,
Kenya,KEN,1992,,,24655724.0,
Kenya,KEN,2015,,,46851496.0,Africa
Kuwait,KWT,2017,2.5,105.3232419,4124904.0,
Kuwait,KWT,1992,,,1620639.0,
Kuwait,KWT,2015,,,3908745.0,Asia
Latvia,LVA,2017,2.5,-23.95130076,1954861.0,
Latvia,LVA,1992,,,2662885.0,
Latvia,LVA,2015,,,1991951.0,Europe
Lebanon,LBN,2017,8.1,107.3623374,6109255.0,
Lebanon,LBN,1992,,,3745410.0,
Lebanon,LBN,2015,,,6398941.0,Asia
Liberia,LBR,2017,35.3,122.4529831,4796632.0,
Liberia,LBR,1992,,,2052633.0,
Liberia,LBR,2015,,,4612330.0,Africa
Madagascar,MDG,2017,38.3,97.00370756,26169540.0,
Madagascar,MDG,1992,,,12623342.0,
Madagascar,MDG,2015,,,24850912.0,Africa
Malaysia,MYS,2017,10.2,61.59259452,31975812.0,
Malaysia,MYS,1992,,,18526708.0,
Malaysia,MYS,2015,,,31068834.0,Asia
Mauritius,MUS,2017,13.3,16.29798441,1294743.0,
Mauritius,MUS,1992,,,1118719.0,
Mauritius,MUS,2015,,,1293159.0,Africa
Mexico,MEX,2017,6.5,41.72389542,122839256.0,
Mexico,MEX,1992,,,84993160.0,
Mexico,MEX,2015,,,120149896.0,North America
Morocco,MAR,2017,10.2,34.94107786,35528116.0,
Morocco,MAR,1992,,,25400676.0,
Morocco,MAR,2015,,,34680456.0,Africa
Myanmar,MMR,2017,22.6,25.63372985,52288344.0,
Myanmar,MMR,1992,,,41237808.0,
Myanmar,MMR,2015,,,51483956.0,Asia
Nigeria,NGA,2017,25.5,80.78120516,193495904.0,
Nigeria,NGA,1992,,,100182048.0,
Nigeria,NGA,2015,,,183995776.0,Africa
North America,,1992,,,434703257.0,
North America,,2015,,,570726015.0,
North America,,2017,,,581258143.0,
North Korea,PRK,2017,28.2,20.56851938,25516318.0,
North Korea,PRK,1992,,,21439992.0,
North Korea,PRK,2015,,,25258012.0,Asia
Oceania,,2017,,41.58378278,41817267.0,
Oceania,,1992,,,27637470.0,
Oceania,,2015,,,40403644.0,
Oman,OMN,2017,11.3,111.7611408,4541853.0,
Oman,OMN,1992,,,1985234.0,
Oman,OMN,2015,,,4191784.0,Asia
Pakistan,PAK,2017,32.6,66.49255415,216379648.0,
Pakistan,PAK,1992,,,122375176.0,
Pakistan,PAK,2015,,,210969296.0,Asia
