Entity,Code,Year,libdem_vdem_owid,goveffective_vdem_wbgi_owid,Population (historical estimates),Continent
Africa,,2021,0.27653572,,1393676724.0,
Albania,ALB,2021,0.41,-0.003,2854710.0,
Argentina,ARG,2021,0.657,-0.357,45276788.0,
Armenia,ARM,2021,0.541,-0.25,2790971.0,
Asia,,2021,0.24518368,,4693332132.0,
Azerbaijan,AZE,2021,0.066,0.248,10312992.0,
Bangladesh,BGD,2021,0.103,-0.627,169356240.0,
Belarus,BLR,2021,0.038,-0.771,9578172.0,
Brazil,BRA,2021,0.513,-0.46,214326224.0,
Cambodia,KHM,2021,0.065,-0.423,16589031.0,
Chile,CHL,2021,0.779,0.626,19493184.0,
China,CHN,2021,0.039,0.841,1425893504.0,
Colombia,COL,2021,0.485,-0.015,51516560.0,
Costa Rica,CRI,2021,0.85,0.257,5153959.0,
Cyprus,CYP,2021,0.648,0.736,1244193.0,
Democratic Republic of Congo,COD,2021,0.15,-1.719,95894120.0,
Europe,,2021,0.63592684,,746417727.0,
Fiji,FJI,2021,0.27,0.624,924615.0,
Georgia,GEO,2021,0.497,0.654,3757984.0,
Germany,DEU,2021,0.823,1.331,83408560.0,
Greece,GRC,2021,0.655,0.444,10445368.0,
Guinea,GIN,2021,0.103,-0.916,13531909.0,
Haiti,HTI,2021,0.214,-2.187,11447575.0,
Hong Kong,HKG,2021,0.153,1.526,7494580.0,
Hungary,HUN,2021,0.35,0.635,9709784.0,
India,IND,2021,0.332,0.282,1407563904.0,
Indonesia,IDN,2021,0.413,0.379,273753184.0,
Iraq,IRQ,2021,0.218,-1.292,43533592.0,
Israel,ISR,2021,0.651,1.292,8900057.0,
Italy,ITA,2021,0.768,0.361,59240336.0,
Jamaica,JAM,2021,0.693,0.414,2827701.0,
Latvia,LVA,2021,0.735,0.873,1873926.0,
Lebanon,LBN,2021,0.265,-1.287,5592626.0,
Liberia,LBR,2021,0.461,-1.377,5193422.0,
Madagascar,MDG,2021,0.26,-1.0,28915652.0,
Malawi,MWI,2021,0.536,-0.769,19889742.0,
Malaysia,MYS,2021,0.29,0.992,33573872.0,
Mauritania,MRT,2021,0.167,-0.734,4614981.0,
Mauritius,MUS,2021,0.435,0.849,1298922.0,
Mexico,MEX,2021,0.371,-0.312,126705136.0,
Moldova,MDA,2021,0.616,-0.405,3061509.0,
Morocco,MAR,2021,0.24,-0.067,37076588.0,
Myanmar,MMR,2021,0.05,-1.41,53798088.0,
Nepal,NPL,2021,0.478,-0.872,30034988.0,
Netherlands,NLD,2021,0.81,1.767,17501696.0,
Niger,NER,2021,0.398,-0.615,25252722.0,
Nigeria,NGA,2021,0.329,-0.996,213401328.0,
North America,,2021,0.4538,,597123384.0,
North Korea,PRK,2021,0.014,-1.557,25971910.0,
Oceania,,2021,0.5615,,44492065.0,
Pakistan,PAK,2021,0.266,-0.403,231402112.0,
Philippines,PHL,2021,0.28,0.07,113880336.0,
Qatar,QAT,2021,0.086,1.114,2688239.0,
Russia,RUS,2021,0.102,-0.176,145102752.0,
Sierra Leone,SLE,2021,0.426,-1.115,8420642.0,
Singapore,SGP,2021,0.345,2.291,5941063.0,
Slovenia,SVN,2021,0.599,1.178,2119408.0,
Somalia,SOM,2021,0.102,-2.055,17065588.0,
South Africa,ZAF,2021,0.582,-0.017,59392256.0,
South America,,2021,0.51358336,,434254167.0,
Spain,ESP,2021,0.779,0.947,47486932.0,
Sudan,SDN,2021,0.074,-1.637,45657204.0,
Sweden,SWE,2021,0.871,1.652,10467095.0,
Switzerland,CHE,2021,0.851,2.032,8691409.0,
Syria,SYR,2021,0.036,-1.74,21324366.0,
Taiwan,TWN,2021,0.707,1.47,23859904.0,
Tanzania,TZA,2021,0.339,-0.632,63588332.0,
Thailand,THA,2021,0.171,0.253,71601104.0,
Uganda,UGA,2021,0.203,-0.57,45853780.0,
United Arab Emirates,ARE,2021,0.082,1.399,9365149.0,
United States,USA,2021,0.735,1.336,336997632.0,
Vietnam,VNM,2021,0.112,0.278,97468024.0,
Yemen,YEM,2021,0.035,-2.304,32981644.0,
