Entity,Code,Year,"School enrollment, primary (% gross)"
Arab World (WB),,1970,66.07103
Arab World (WB),,1980,76.00886
Arab World (WB),,1990,80.98026
Arab World (WB),,2000,86.70915
Arab World (WB),,2010,92.74977
Arab World (WB),,2022,89.50662
Belgium,BEL,1980,104.17764
Belgium,BEL,1990,98.75708
Belgium,BEL,2000,102.90737
Belgium,BEL,2010,102.23681
Benin,BEN,1980,55.71966
Benin,BEN,1990,49.14539
Benin,BEN,2000,80.11121
Benin,BEN,2010,117.38398
Benin,BEN,2022,113.04891
Sri Lanka,LKA,1970,102.65067
Sri Lanka,LKA,1980,119.28152
Sri Lanka,LKA,1990,108.77062
Sri Lanka,LKA,2010,97.781845
Yemen,YEM,2010,84.01722
