Entity,Code,Year,"GNI per capita, PPP (constant 2017 international $)"
China,CHN,1995,2361.3877
China,CHN,2000,3416.4814
China,CHN,2005,5299.36
China,CHN,2010,8846.376
China,CHN,2015,12552.186
China,CHN,2021,17443.963
France,FRA,1990,34076.0
France,FRA,1995,35316.887
France,FRA,2000,40099.438
France,FRA,2005,41987.324
France,FRA,2010,42769.566
France,FRA,2015,44323.977
France,FRA,2021,46357.0
Germany,DEU,1990,36587.316
Germany,DEU,1995,39440.76
Germany,DEU,2000,42394.863
Germany,DEU,2005,44193.77
Germany,DEU,2010,47554.227
Germany,DEU,2015,52200.625
Germany,DEU,2021,54764.41
India,IND,1990,1799.143
India,IND,1995,2085.0168
India,IND,2000,2548.2163
India,IND,2005,3203.737
India,IND,2010,4169.1772
India,IND,2015,5349.192
India,IND,2021,6488.9126
Japan,JPN,1995,37026.797
Japan,JPN,2000,38375.43
Japan,JPN,2005,40079.832
Japan,JPN,2010,39152.93
Japan,JPN,2015,41874.215
Japan,JPN,2021,41902.94
South Korea,KOR,1990,14040.207
South Korea,KOR,1995,20042.34
South Korea,KOR,2000,23219.379
South Korea,KOR,2005,28059.344
South Korea,KOR,2010,33067.63
South Korea,KOR,2015,38389.344
South Korea,KOR,2021,43051.79
United Kingdom,GBR,2000,37867.816
United Kingdom,GBR,2005,42847.355
United Kingdom,GBR,2010,41736.203
United Kingdom,GBR,2015,44103.273
United Kingdom,GBR,2021,44879.73
United States,USA,1990,39486.574
United States,USA,1995,42198.387
United States,USA,2000,50439.098
United States,USA,2005,54324.76
United States,USA,2010,54284.957
United States,USA,2015,59704.457
United States,USA,2021,64936.703
