Entity,Code,Year,Groundnuts | 00000242 || Yield | 005419 || tonnes per hectare
India,IND,1961,0.7249
India,IND,1970,0.8341
India,IND,1980,0.7359
India,IND,1990,0.9044
India,IND,2000,0.9881
India,IND,2010,1.4103999
India,IND,2021,1.7162
Lebanon,LBN,1961,1.3333
Lebanon,LBN,1970,1.1590999
Lebanon,LBN,1980,1.0
Lebanon,LBN,1990,2.5895998
Lebanon,LBN,2000,2.9057
Lebanon,LBN,2010,3.5489
Lebanon,LBN,2021,4.3343
Melanesia,OWID_MNS,1961,1.1858
Melanesia,OWID_MNS,1970,0.79999995
Melanesia,OWID_MNS,1980,0.9544
Melanesia,OWID_MNS,1990,1.015
Melanesia,OWID_MNS,2000,0.98149997
Melanesia,OWID_MNS,2010,1.0673
Melanesia,OWID_MNS,2021,1.0943
