Entity,Code,Year,Cantril ladder score,Happiness: Happy (aggregate),Population (historical estimates),Continent
Albania,ALB,2022,5.2773,73.9271,,
Armenia,ARM,2022,5.3417,85.49175,,
Bangladesh,BGD,2022,4.2821,90.66667,,
Bolivia,BOL,2022,5.6843,73.00436,,
Bulgaria,BGR,2022,5.4661,60.17142,,
Canada,CAN,2022,6.9607,84.87317,,
China,CHN,2022,5.8179,88.94933,,
Cyprus,CYP,2022,6.13,81.93637,,
Ecuador,ECU,2022,5.5589,88.05347,,
Egypt,EGY,2022,4.1705,71.66666,,
Estonia,EST,2022,6.4552,84.37757,,
Ethiopia,ETH,2022,4.0906,87.47968,,
Finland,FIN,2022,7.8042,88.91853,,
France,FRA,2022,6.6613,90.87823,,
Greece,GRC,2022,5.9309,71.42216,,
Iceland,ISL,2022,7.5296,95.11448,,
Indonesia,IDN,2022,5.2769,93.84203,,
Iran,IRN,2022,4.8763,69.57972,,
Italy,ITA,2022,6.4045,82.27991,,
Kazakhstan,KAZ,2022,6.1439,84.48276,,
Kenya,KEN,2022,4.4866,82.99051,,
Lebanon,LBN,2022,2.3922,86.08334,,
Libya,LBY,2022,,91.63879,,
Lithuania,LTU,2022,6.763,73.6502,,
Mexico,MEX,2022,6.3295,92.02093,,
Morocco,MAR,2022,4.9028,82.83333,,
Myanmar,MMR,2022,4.3725,87.58334,,
Netherlands,NLD,2022,7.403,90.52544,,
Nigeria,NGA,2022,4.9806,72.41383,,
Norway,NOR,2022,7.3155,94.06306,,
Pakistan,PAK,2022,4.5554,89.22306,,
Philippines,PHL,2022,5.5229,91.44243,,
Romania,ROU,2022,6.5891,77.93004,,
Russia,RUS,2022,5.6607,79.44434,,
Serbia,SRB,2022,6.1436,79.77212,,
Slovenia,SVN,2022,6.6499,83.50598,,
Spain,ESP,2022,6.4362,88.79475,,
Thailand,THA,2022,5.843,83.75718,,
Tunisia,TUN,2022,4.4967,76.57285,,
Turkey,TUR,2022,4.6135,85.01035,,
Ukraine,UKR,2022,5.0714,76.26277,,
United States,USA,2022,6.8937,88.1805,,
Venezuela,VEN,2022,5.2106,78.9916,,
Vietnam,VNM,2022,5.7633,97.33334,,
Zimbabwe,ZWE,2022,3.2035,51.93416,,
