Entity,Code,Year,HAQ Index (IHME (2017)),"Current health expenditure per capita, PPP (current international $)",Population (historical estimates),Continent
Afghanistan,AFG,2017,,259.78683,35643420.0,
Africa,,2017,,,1263333997.0,
Algeria,DZA,2017,,737.0372,41136548.0,
Angola,AGO,2017,,204.08374,30208634.0,
Argentina,ARG,2017,,2470.1099,44054616.0,
Asia,,2017,,,4547095064.0,
Bangladesh,BGD,2017,,101.18003,161793968.0,
Bolivia,BOL,2017,,546.71484,11435535.0,
Brazil,BRA,2017,,1375.6625,208504960.0,
Central African Republic,CAF,2017,,60.842117,4996741.0,
Chile,CHL,2017,,2219.1355,18368582.0,
China,CHN,2017,,706.3683,1410275968.0,
Comoros,COM,2017,,159.74142,761672.0,
Cuba,CUB,2017,,2517.6816,11336405.0,
Democratic Republic of Congo,COD,2017,,44.05068,84283272.0,
Egypt,EGY,2017,,620.45215,101789384.0,
Equatorial Guinea,GNQ,2017,,667.45746,1450703.0,
Eswatini,SWZ,2017,,586.97034,1151397.0,
Ethiopia,ETH,2017,,69.81203,108197944.0,
Europe,,2017,,,745657647.0,
Gambia,GMB,2017,,85.90574,2381189.0,
Greece,GRC,2017,,2325.6223,10692230.0,
Guatemala,GTM,2017,,485.639,16578718.0,
Guinea,GIN,2017,,94.660126,12240791.0,
Guyana,GUY,2017,,518.52423,763265.0,
Haiti,HTI,2017,,142.71272,10863546.0,
India,IND,2017,,181.52911,1354195712.0,
Indonesia,IDN,2017,,317.58957,264498848.0,
Iran,IRN,2017,,1225.0701,84505080.0,
Iraq,IRQ,2017,,452.59564,39621156.0,
Italy,ITA,2017,,3616.6729,60004024.0,
Japan,JPN,2017,,4398.0244,126662464.0,
Lebanon,LBN,2017,,1245.0154,6109255.0,
Lesotho,LSO,2017,,268.2939,2170622.0,
Malawi,MWI,2017,,111.653336,17881172.0,
Malta,MLT,2017,,3873.2515,479507.0,
Nigeria,NGA,2017,,194.81302,193495904.0,
North America,,2017,,,581258143.0,
Norway,NOR,2017,,6630.8423,5277396.0,
Oceania,,2017,,,41817267.0,
Pakistan,PAK,2017,,132.6698,216379648.0,
Panama,PAN,2017,,2103.3145,4096071.0,
Paraguay,PRY,2017,,832.1122,6355406.0,
Poland,POL,2017,,1972.3679,38532816.0,
Russia,RUS,2017,,1406.201,145452544.0,
Saudi Arabia,SAU,2017,,2962.5842,34193120.0,
Sierra Leone,SLE,2017,,153.56686,7677570.0,
South Africa,ZAF,2017,,1107.891,56641208.0,
South America,,2017,,,420982650.0,
Tajikistan,TJK,2017,,222.95468,8925529.0,
Thailand,THA,2017,,669.5812,70898208.0,
Turkey,TUR,2017,,1166.7278,82089824.0,
United States,USA,2017,,10103.092,329791232.0,
Uruguay,URY,2017,,2029.8868,3422205.0,
Vietnam,VNM,2017,,423.98468,94033048.0,
World,OWID_WRL,2017,,1338.3882,7599822336.0,
