Entity,Code,Year,Health expenditure per capita - Total
Belgium,BEL,1970,855.881
Belgium,BEL,1980,1714.911
Belgium,BEL,1990,2438.814
Belgium,BEL,2000,3264.102
Belgium,BEL,2010,4446.138
Belgium,BEL,2022,5200.518
Chile,CHL,2000,879.338
Chile,CHL,2010,1357.868
Chile,CHL,2022,2234.293
China,CHN,2000,160.079
China,CHN,2010,382.572
Germany,DEU,1970,1406.589
Germany,DEU,1980,2529.262
Germany,DEU,1990,3111.513
Germany,DEU,2000,3996.437
Germany,DEU,2010,4840.343
Germany,DEU,2022,6448.205
Italy,ITA,1990,2284.995
Italy,ITA,2000,2796.104
Italy,ITA,2010,3285.591
Italy,ITA,2022,3324.336
Japan,JPN,1970,876.279
Japan,JPN,1980,1576.499
Japan,JPN,1990,2076.524
Japan,JPN,2000,2743.482
Japan,JPN,2010,3591.725
Japan,JPN,2022,5014.375
Mexico,MEX,2000,748.052
Mexico,MEX,2010,1017.793
Mexico,MEX,2022,1041.369
South Korea,KOR,1970,94.156
South Korea,KOR,1980,225.111
South Korea,KOR,1990,562.628
South Korea,KOR,2000,906.454
South Korea,KOR,2010,1947.717
South Korea,KOR,2022,4223.628
United Kingdom,GBR,1970,609.489
United Kingdom,GBR,1980,957.597
United Kingdom,GBR,1990,1259.373
United Kingdom,GBR,2000,2315.664
United Kingdom,GBR,2010,3515.102
United Kingdom,GBR,2022,4551.586
United States,USA,1970,1666.08
United States,USA,1980,2671.319
United States,USA,1990,4478.595
United States,USA,2000,6079.524
United States,USA,2010,8506.66
United States,USA,2022,10331.449
