Entity,Code,Year,Hidden Hunger Index in pre-school children (Muthayya et al. (2013)),"GDP per capita, PPP (constant 2017 international $)",Population (historical estimates),Continent
Afghanistan,AFG,2013,,2165.3408,31541216.0,
Africa,,2013,,,1140180888.0,
Algeria,DZA,2013,,11360.638,38000628.0,
Angola,AGO,2013,,8100.3853,26147012.0,
Argentina,ARG,2013,,24424.137,42388268.0,
Asia,,2013,,,4365286895.0,
Azerbaijan,AZE,2013,,14651.694,9614478.0,
Bangladesh,BGD,2013,,3932.7083,154030144.0,
Belarus,BLR,2013,,18805.432,9691143.0,
Benin,BEN,2013,,2792.0273,10308730.0,
Bhutan,BTN,2013,,8929.046,728898.0,
Brazil,BRA,2013,,15751.484,201721776.0,
Burundi,BDI,2013,,824.61053,10149583.0,
Cape Verde,CPV,2013,,5993.119,539949.0,
Chile,CHL,2013,,24011.592,17509926.0,
China,CHN,2013,,11101.938,1376100352.0,
Colombia,COL,2013,,13465.075,46237928.0,
Cote d'Ivoire,CIV,2013,,3894.5154,22469272.0,
Democratic Republic of Congo,COD,2013,,944.64026,73460032.0,
Djibouti,DJI,2013,,3664.268,971761.0,
East Timor,TLS,2013,,3121.958,1161558.0,
Egypt,EGY,2013,,9742.144,93377896.0,
Ethiopia,ETH,2013,,1518.1438,97084376.0,
Europe,,2013,,,741180502.0,
Fiji,FJI,2013,,10830.61,913467.0,
Gambia,GMB,2013,,1969.777,2124876.0,
Ghana,GHA,2013,,4610.028,27525586.0,
Guinea-Bissau,GNB,2013,,1718.862,1697757.0,
Honduras,HND,2013,,5020.937,8960654.0,
Hungary,HUN,2013,,25337.588,9894637.0,
India,IND,2013,,4780.12,1291132032.0,
Indonesia,IDN,2013,,9402.108,253275920.0,
Iran,IRN,2013,,14113.458,78458928.0,
Kazakhstan,KAZ,2013,,23720.816,17345734.0,
Kiribati,KIR,2013,,1932.2354,113316.0,
Kyrgyzstan,KGZ,2013,,4631.4033,5719561.0,
Laos,LAO,2013,,5789.2754,6600736.0,
Liberia,LBR,2013,,1635.9583,4427319.0,
Libya,LBY,2013,,25907.758,5985228.0,
Madagascar,MDG,2013,,1491.0741,23588078.0,
Maldives,MDV,2013,,17768.61,400741.0,
Mexico,MEX,2013,,18844.031,117290680.0,
Moldova,MDA,2013,,9814.323,3416532.0,
Morocco,MAR,2013,,6352.433,33803528.0,
Mozambique,MOZ,2013,,1179.67,25251738.0,
Myanmar,MMR,2013,,3409.649,50648336.0,
Nicaragua,NIC,2013,,5214.529,6119377.0,
Nigeria,NGA,2013,,5238.8325,174726128.0,
North America,,2013,,,560056144.0,
Oceania,,2013,,,39057783.0,
Oman,OMN,2013,,36330.48,3816688.0,
Pakistan,PAK,2013,,4266.7114,205337552.0,
Philippines,PHL,2013,,6610.851,99700112.0,
Russia,RUS,2013,,26332.396,143956864.0,
Rwanda,RWA,2013,,1674.0609,11101352.0,
Saudi Arabia,SAU,2013,,45674.324,31482502.0,
Senegal,SEN,2013,,2815.2815,13595571.0,
Slovakia,SVK,2013,,26650.363,5414744.0,
Solomon Islands,SLB,2013,,2591.8025,582369.0,
South America,,2013,,,405147963.0,
Tajikistan,TJK,2013,,2741.2246,8136612.0,
Tanzania,TZA,2013,,2171.4421,49253648.0,
Turkey,TUR,2013,,23912.732,76576120.0,
Tuvalu,TUV,2013,,3515.1396,10942.0,
Ukraine,UKR,2013,,13020.601,45307104.0,
Vietnam,VNM,2013,,7257.7295,90267736.0,
Zambia,ZMB,2013,,3330.877,15234976.0,
