Entity,Code,Year,Deaths - HIV/AIDS - Sex: Both - Age: Age-standardized (Rate)
Malawi,MWI,1990,176.99
Malawi,MWI,1995,552.22
Malawi,MWI,2000,792.55
Malawi,MWI,2005,770.88
Malawi,MWI,2010,376.05
Malawi,MWI,2015,173.7
Malawi,MWI,2019,111.2
Pakistan,PAK,1990,0.33
Pakistan,PAK,1995,0.52
Pakistan,PAK,2000,0.48
Pakistan,PAK,2005,0.49
Pakistan,PAK,2010,0.8
Pakistan,PAK,2015,1.55
Pakistan,PAK,2019,2.02
Rwanda,RWA,1990,32.87
Rwanda,RWA,1995,157.01
Rwanda,RWA,2000,236.77
Rwanda,RWA,2005,183.14
Rwanda,RWA,2010,75.43
Rwanda,RWA,2015,46.74
Rwanda,RWA,2019,32.72
World,OWID_WRL,1990,6.38
World,OWID_WRL,1995,16.5
World,OWID_WRL,2000,25.38
World,OWID_WRL,2005,27.62
World,OWID_WRL,2010,19.09
World,OWID_WRL,2015,13.47
World,OWID_WRL,2019,10.72
Zimbabwe,ZWE,1990,136.05
Zimbabwe,ZWE,1995,651.46
Zimbabwe,ZWE,2000,1148.22
Zimbabwe,ZWE,2005,1148.65
Zimbabwe,ZWE,2010,581.42
Zimbabwe,ZWE,2015,271.84
Zimbabwe,ZWE,2019,180.62
