Entity,Code,Year,Deaths - Interpersonal violence - Sex: Both - Age: All Ages (Rate),"Homicide rate per 100,000 population - Both sexes - All ages",Continent
Afghanistan,AFG,2019,13.1,7.180397,
Albania,ALB,2019,2.09,2.2617478,
Algeria,DZA,2019,1.1,1.2153039,
Antigua and Barbuda,ATG,2019,5.11,3.2567456,
Argentina,ARG,2019,6.39,5.155823,
Austria,AUT,2019,0.79,0.867123,
Azerbaijan,AZE,2019,3.62,1.6417869,
Bahamas,BHS,2019,29.4,23.482475,
Bahrain,BHR,2019,1.87,0.26770383,
Barbados,BRB,2019,10.96,17.131874,
Belarus,BLR,2019,8.17,2.3258288,
Belize,BLZ,2019,27.76,34.43889,
Bosnia and Herzegovina,BIH,2019,2.55,1.2497354,
Canada,CAN,2019,1.51,1.8362274,
China,CHN,2019,0.84,0.5189666,
Costa Rica,CRI,2019,10.66,11.0728,
Croatia,HRV,2019,1.11,0.79907954,
Cyprus,CYP,2019,1.58,1.2206669,
Denmark,DNK,2019,0.75,1.1387403,
Dominican Republic,DOM,2019,18.32,9.428515,
El Salvador,SLV,2019,48.71,38.183395,
Estonia,EST,2019,4.45,1.9592499,
Grenada,GRD,2019,6.11,13.037437,
Guam,GUM,2019,3.23,4.151248,
Hungary,HUN,2019,1.49,0.65494615,
Iceland,ISL,2019,0.68,0.27718145,
India,IND,2019,2.94,2.926661,
Ireland,IRL,2019,0.64,0.6535922,
Israel,ISR,2019,1.98,1.5334716,
Jamaica,JAM,2019,14.95,47.62289,
Japan,JPN,2019,0.56,0.2535939,
Kuwait,KWT,2019,0.94,0.36027116,
Latvia,LVA,2019,7.08,3.391501,
Lebanon,LBN,2019,4.18,3.1477506,
Maldives,MDV,2019,1.97,0.59463876,
Mauritania,MRT,2019,4.98,1.0949284,
Micronesia (country),FSM,2019,8.44,0.89783937,
Mongolia,MNG,2019,8.51,6.341979,
Morocco,MAR,2019,0.97,1.7270631,
Myanmar,MMR,2019,1.29,2.863865,
Nicaragua,NIC,2019,6.06,7.7281795,
Nigeria,NGA,2019,6.03,21.74079,
Oman,OMN,2019,0.66,0.49969932,
Palestine,PSE,2019,6.19,0.7128637,
Peru,PER,2019,3.36,7.2658343,
Philippines,PHL,2019,13.88,4.315968,
Puerto Rico,PRI,2019,19.77,19.223255,
Seychelles,SYC,2019,4.91,9.581068,
Singapore,SGP,2019,0.44,0.20455457,
Tonga,TON,2019,1.47,0.95283014,
Tunisia,TUN,2019,0.68,4.738859,
United Kingdom,GBR,2019,0.51,1.150068,
