Entity,Code,Year,Number of homicides - firearms
Albania,ALB,2006,53
Albania,ALB,2008,56
Albania,ALB,2010,88
Albania,ALB,2012,100
Albania,ALB,2014,70
Albania,ALB,2016,43
Albania,ALB,2018,46
Albania,ALB,2020,41
Albania,ALB,2021,50
Argentina,ARG,2018,1214
Argentina,ARG,2020,1209
Argentina,ARG,2021,1095
Jamaica,JAM,2006,1008
Jamaica,JAM,2008,1253
Jamaica,JAM,2010,1097
Jamaica,JAM,2012,778
Jamaica,JAM,2014,715
Jamaica,JAM,2016,1100
Jamaica,JAM,2018,1015
Jamaica,JAM,2020,1118
Jamaica,JAM,2021,1250
Slovakia,SVK,2010,17
Slovakia,SVK,2012,14
Slovakia,SVK,2014,13
Slovakia,SVK,2016,15
Slovakia,SVK,2018,6
Slovakia,SVK,2020,3
Slovakia,SVK,2021,3
