Entity,Code,Year,Work is a duty towards society: Strongly agree,Work is a duty towards society: Agree,Work is a duty towards society: Neither agree nor disagree,Work is a duty towards society: Disagree,Work is a duty towards society: Strongly disagree,Work is a duty towards society: Don't know,Work is a duty towards society: No answer
Azerbaijan,AZE,2022,23.63334,32.77301,27.20739,12.7843,1.3202,1.963872,0.3178793
Belarus,BLR,2022,29.97693,28.05268,15.6207,17.61737,6.833664,1.636601,0.2620549
Czechia,CZE,2022,19.52991,35.44804,23.88637,15.27338,4.508551,0.7881141,0.5656338
Egypt,EGY,2022,65.16666,29.0,4.833333,0.75,,0.1666667,0.0833333
Indonesia,IDN,2022,17.03282,56.71095,2.721087,21.79621,1.445546,0.2933849,0.0
Iraq,IRQ,2022,72.25,20.75,5.333333,1.333333,0.1666667,0.1666667,0.0
Jordan,JOR,2022,71.07232,26.10141,1.828761,0.8312552,0.166251,0.0,0.0
Kenya,KEN,2022,32.98969,49.08802,9.199049,6.819984,1.744647,0.0,0.1586043
Mongolia,MNG,2022,21.78957,42.44495,20.6048,11.56859,3.59208,0.0,0.0
Singapore,SGP,2022,11.45697,56.95684,18.71684,11.3973,1.383451,0.0,0.0886028
Tajikistan,TJK,2022,63.25,32.16666,3.166667,1.083333,0.3333333,0.0,0.0
