Entity,Code,Year,Human Development Index,Corruption Perception Index - Transparency International (2018),Population (historical estimates),Continent
Afghanistan,AFG,2018,0.483,16.0,36686788.0,
Africa,,2018,,,1295265310.0,
Angola,AGO,2018,0.595,19.0,31273538.0,
Asia,,2018,,,4588802751.0,
Azerbaijan,AZE,2018,0.757,25.0,10152524.0,
Bahamas,BHS,2018,0.827,65.0,401911.0,
Bahrain,BHR,2018,0.879,36.0,1487346.0,
Bangladesh,BGD,2018,0.635,26.0,163683952.0,
Benin,BEN,2018,0.53,40.0,11940688.0,
Bhutan,BTN,2018,0.658,68.0,762104.0,
Bolivia,BOL,2018,0.714,29.0,11606906.0,
Botswana,BWA,2018,0.716,61.0,2451411.0,
Brazil,BRA,2018,0.764,35.0,210166592.0,
Burkina Faso,BFA,2018,0.449,41.0,20392730.0,
Burundi,BDI,2018,0.428,17.0,11493476.0,
Cape Verde,CPV,2018,0.673,57.0,571209.0,
Chad,TCD,2018,0.398,19.0,15604213.0,
Chile,CHL,2018,0.856,67.0,18701452.0,
China,CHN,2018,0.755,39.0,1417069440.0,
Costa Rica,CRI,2018,0.811,56.0,5040738.0,
Cuba,CUB,2018,0.783,47.0,11328243.0,
East Timor,TLS,2018,0.605,35.0,1261850.0,
Ethiopia,ETH,2018,0.489,34.0,111129440.0,
Europe,,2018,,,746577709.0,
France,FRA,2018,0.901,72.0,64277812.0,
Germany,DEU,2018,0.945,80.0,82896696.0,
Ghana,GHA,2018,0.62,41.0,30870648.0,
Greece,GRC,2018,0.886,45.0,10633275.0,
Haiti,HTI,2018,0.541,20.0,11012427.0,
India,IND,2018,0.645,41.0,1369003264.0,
Indonesia,IDN,2018,0.71,38.0,267066848.0,
Iraq,IRQ,2018,0.692,18.0,40590700.0,
Italy,ITA,2018,0.893,52.0,59877432.0,
Jamaica,JAM,2018,0.716,44.0,2811842.0,
Jordan,JOR,2018,0.723,49.0,10459864.0,
Kazakhstan,KAZ,2018,0.814,31.0,18538100.0,
Libya,LBY,2018,0.722,17.0,6477791.0,
Madagascar,MDG,2018,0.507,25.0,26846544.0,
Malaysia,MYS,2018,0.807,47.0,32399270.0,
Mali,MLI,2018,0.43,32.0,19934304.0,
Mexico,MEX,2018,0.777,28.0,124013864.0,
Mongolia,MNG,2018,0.743,37.0,3163994.0,
Montenegro,MNE,2018,0.834,45.0,631459.0,
Mozambique,MOZ,2018,0.451,23.0,29423882.0,
Myanmar,MMR,2018,0.59,29.0,52666016.0,
Namibia,NAM,2018,0.636,53.0,2405682.0,
Niger,NER,2018,0.399,34.0,22577060.0,
Nigeria,NGA,2018,0.531,27.0,198387616.0,
North America,,2018,,,585864285.0,
Oceania,,2018,,,42540030.0,
Oman,OMN,2018,0.834,52.0,4601160.0,
Pakistan,PAK,2018,0.545,33.0,219731488.0,
Poland,POL,2018,0.877,60.0,38521464.0,
Qatar,QAT,2018,0.853,62.0,2766743.0,
Russia,RUS,2018,0.841,28.0,145652288.0,
Rwanda,RWA,2018,0.528,56.0,12531810.0,
Saint Lucia,LCA,2018,0.746,55.0,177894.0,
Saint Vincent and the Grenadines,VCT,2018,0.775,58.0,105297.0,
Saudi Arabia,SAU,2018,0.865,49.0,35018132.0,
Senegal,SEN,2018,0.512,45.0,15574910.0,
Serbia,SRB,2018,0.808,39.0,7433825.0,
Solomon Islands,SLB,2018,0.566,44.0,659259.0,
South America,,2018,,,424740741.0,
South Korea,KOR,2018,0.919,57.0,51676900.0,
Sudan,SDN,2018,0.514,16.0,41999064.0,
Syria,SYR,2018,0.58,13.0,19333464.0,
Tajikistan,TJK,2018,0.671,25.0,9128131.0,
Tunisia,TUN,2018,0.743,43.0,11933040.0,
Turkey,TUR,2018,0.839,41.0,82809304.0,
United States,USA,2018,0.927,71.0,332140032.0,
Uruguay,URY,2018,0.819,70.0,3427044.0,
Uzbekistan,UZB,2018,0.72,23.0,32449578.0,
Vanuatu,VUT,2018,0.603,46.0,297307.0,
Vietnam,VNM,2018,0.697,33.0,94914328.0,
Yemen,YEM,2018,0.459,14.0,30790514.0,
