Entity,Code,Year,Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (number of tables)
Belize,BLZ,2008,0
Belize,BLZ,2010,0
Belize,BLZ,2012,0
Belize,BLZ,2014,0
Belize,BLZ,2016,0
Belize,BLZ,2018,0
Belize,BLZ,2020,0
Italy,ITA,2008,2
Italy,ITA,2010,9
Italy,ITA,2012,2
Italy,ITA,2014,2
Italy,ITA,2016,2
Italy,ITA,2018,2
Italy,ITA,2020,2
Rwanda,RWA,2008,0
Rwanda,RWA,2010,0
Rwanda,RWA,2012,0
Rwanda,RWA,2014,7
Rwanda,RWA,2016,7
Rwanda,RWA,2018,7
Rwanda,RWA,2020,7
Sweden,SWE,2008,7
Sweden,SWE,2010,8
Sweden,SWE,2012,7
Sweden,SWE,2014,8
Sweden,SWE,2016,9
Sweden,SWE,2018,10
Sweden,SWE,2020,9
Sweden,SWE,2021,8
