Entity,Code,Year,17.7.1 - Amount of tracked imported Environmentally Sound Technologies (current United States dollars) - DC_ENVTECH_IMP
China,CHN,2010,143251963904
China,CHN,2012,162405613568
China,CHN,2014,163926032384
China,CHN,2016,139686952960
China,CHN,2018,153204178944
China,CHN,2020,144254287872
United States,USA,2010,108779167744
United States,USA,2012,139344773120
United States,USA,2014,146101141504
United States,USA,2016,147592282112
United States,USA,2018,162744418304
United States,USA,2020,160979009536
