Entity,Code,Year,imported_deforestation
Canada,CAN,2005,5387.216305163992
Canada,CAN,2006,5533.022948961417
Canada,CAN,2007,6331.469014438771
Canada,CAN,2008,5030.494172099739
Canada,CAN,2009,5503.007116610943
Canada,CAN,2010,6050.570249285576
Canada,CAN,2011,5542.45849958118
Canada,CAN,2012,5744.721993414849
Canada,CAN,2013,5401.245027811636
France,FRA,2005,39049.00127015411
France,FRA,2006,36215.11105849618
France,FRA,2007,32482.639386598992
France,FRA,2008,29031.762760887
France,FRA,2009,26503.012632330876
France,FRA,2010,24171.714236792875
France,FRA,2011,23363.77182433053
France,FRA,2012,25091.081856529177
France,FRA,2013,21888.559406761666
Germany,DEU,2005,46834.52913764328
Germany,DEU,2006,48728.38627927452
Germany,DEU,2007,51240.46001920746
Germany,DEU,2008,45485.67892834225
Germany,DEU,2009,48914.77767460314
Germany,DEU,2010,46622.591615153426
Germany,DEU,2011,42165.76320807876
Germany,DEU,2012,45163.42441463515
Germany,DEU,2013,36883.039541359256
Sweden,SWE,2005,5871.349949343651
Sweden,SWE,2006,5429.303315089049
Sweden,SWE,2007,5164.920931122998
Sweden,SWE,2008,4628.141014982086
Sweden,SWE,2009,4852.419807211831
Sweden,SWE,2010,4140.612411936698
Sweden,SWE,2011,4393.097604557913
Sweden,SWE,2012,4314.559855741674
Sweden,SWE,2013,3733.7887135173646
