Entity,Code,Year,Imports of pandemic-related customs (per-capita)
Angola,AGO,2010,0.74376625
Angola,AGO,2015,0.86655265
Angola,AGO,2020,1.3751879
Angola,AGO,2022,1.7308002
Botswana,BWA,2000,0.95866394
Botswana,BWA,2005,1.7422158
Botswana,BWA,2010,2.0318766
Botswana,BWA,2015,2.7245662
Botswana,BWA,2020,5.2747593
Botswana,BWA,2022,3.0153933
Burkina Faso,BFA,1995,0.06587321
Burkina Faso,BFA,2000,0.020919984
Burkina Faso,BFA,2005,0.070832305
Burkina Faso,BFA,2010,0.21431296
Burkina Faso,BFA,2015,0.15166456
Burkina Faso,BFA,2020,1.407999
Cambodia,KHM,2000,0.14884101
Cambodia,KHM,2005,0.22745526
Cambodia,KHM,2010,0.17137203
Cambodia,KHM,2015,0.32706937
Cambodia,KHM,2020,1.4955417
Chad,TCD,1995,0.020564934
Croatia,HRV,1995,1.6234902
Croatia,HRV,2000,1.4294604
Croatia,HRV,2005,4.1251454
Croatia,HRV,2010,5.7661986
Croatia,HRV,2015,7.651993
Croatia,HRV,2020,34.25148
Croatia,HRV,2022,14.092627
Faroe Islands,FRO,2000,11.685032
Faroe Islands,FRO,2005,15.178888
Martinique,MTQ,1995,5.083651
North America,,1991,2.9806874
North America,,1995,5.4839444
North America,,2000,7.5559607
North America,,2005,11.068477
North America,,2010,15.087399
North America,,2015,17.996204
North America,,2020,52.05269
North America,,2022,18.64125
Sudan,SDN,2015,0.1723455
