Entity,Code,Year,"Incidence of malaria (per 1,000 population at risk)"
India,IND,2000,19.913614
India,IND,2005,22.630566
India,IND,2010,17.531942
India,IND,2015,9.682006
India,IND,2020,3.217007
Kenya,KEN,2000,216.79553
Kenya,KEN,2005,136.53355
Kenya,KEN,2010,64.01906
Kenya,KEN,2015,68.77052
Kenya,KEN,2020,50.926483
Malawi,MWI,2000,463.22946
Malawi,MWI,2005,363.37338
Malawi,MWI,2010,379.39163
Malawi,MWI,2015,240.83992
Malawi,MWI,2020,228.45328
Somalia,SOM,2000,125.58393
Somalia,SOM,2005,136.56424
Somalia,SOM,2010,43.701538
Somalia,SOM,2015,55.748325
Somalia,SOM,2020,52.2015
South Africa,ZAF,2000,4.0171046
South Africa,ZAF,2005,1.6196542
South Africa,ZAF,2010,1.5736974
South Africa,ZAF,2015,0.89534664
South Africa,ZAF,2020,0.7525036
World,OWID_WRL,2000,81.59621
World,OWID_WRL,2005,76.434166
World,OWID_WRL,2010,69.485344
World,OWID_WRL,2015,58.873123
World,OWID_WRL,2020,59.523373
