Entity,Code,Year,"Annual freshwater withdrawals, industry (% of total freshwater withdrawal)"
Armenia,ARM,2000,4.290604
Armenia,ARM,2010,8.93892
Armenia,ARM,2019,4.048866
Benin,BEN,1990,14.682577
Benin,BEN,2000,21.794443
Benin,BEN,2010,14.39342
Benin,BEN,2019,12.820513
Colombia,COL,2000,4.63465
Colombia,COL,2010,16.298101
Colombia,COL,2019,13.159891
Fiji,FJI,1990,15.850303
Fiji,FJI,2000,10.771113
Fiji,FJI,2010,11.307421
Fiji,FJI,2019,11.307421
Hungary,HUN,1970,55.939598
Hungary,HUN,1980,58.304333
Hungary,HUN,1990,68.21324
Hungary,HUN,2000,73.7259
Hungary,HUN,2010,79.80679
Hungary,HUN,2019,74.050186
Saudi Arabia,SAU,2000,1.3850178
Saudi Arabia,SAU,2010,3.661929
Saudi Arabia,SAU,2019,5.386273
Switzerland,CHE,2019,36.355923
Upper-middle-income countries,,2019,18.227774
Vietnam,VNM,1980,3.961965
Vietnam,VNM,1990,5.8251486
Vietnam,VNM,2000,4.543682
Vietnam,VNM,2010,3.7474096
Vietnam,VNM,2019,3.7474096
