Entity,Code,Year,Geothermal energy capacity - MW
Costa Rica,CRI,2000,145.0
Costa Rica,CRI,2005,165.7
Costa Rica,CRI,2010,165.7
Costa Rica,CRI,2015,217.36
Costa Rica,CRI,2020,261.86
Costa Rica,CRI,2022,262.66
Oceania,,2000,418.2
Oceania,,2005,473.2
Oceania,,2010,1019.1
Oceania,,2015,1270.1
Oceania,,2020,1323.31
Oceania,,2022,1323.31
Philippines,PHL,2000,1846.7
Philippines,PHL,2005,1846.7
Philippines,PHL,2010,1846.7
Philippines,PHL,2015,1916.1
Philippines,PHL,2020,1928.1
Philippines,PHL,2022,1932.0
Russia,RUS,2000,23.0
Russia,RUS,2005,79.0
Russia,RUS,2010,81.0
Russia,RUS,2015,78.0
Russia,RUS,2020,74.0
Russia,RUS,2022,74.0
