Entity,Code,Year,International tourist arrivals by region
Africa,,1995,12832774.0
Africa,,2000,16495090.0
Africa,,2005,21475854.0
Africa,,2010,31106950.0
Africa,,2015,37680050.0
Africa,,2021,11643321.0
Americas,,1995,101567080.0
Americas,,2000,130507890.0
Americas,,2005,137964740.0
Americas,,2010,157585920.0
Americas,,2015,203407280.0
Americas,,2021,84260584.0
East Asia and the Pacific,,1995,114378800.0
East Asia and the Pacific,,2000,168370610.0
East Asia and the Pacific,,2005,235269810.0
East Asia and the Pacific,,2010,293890240.0
East Asia and the Pacific,,2015,397531230.0
East Asia and the Pacific,,2021,18434410.0
Europe,,1995,299340380.0
Europe,,2000,480935520.0
Europe,,2005,567127100.0
Europe,,2010,617293400.0
Europe,,2015,732376960.0
Europe,,2021,364372900.0
Middle East,,1995,10119565.0
Middle East,,2000,16939676.0
Middle East,,2005,25142114.0
Middle East,,2010,33532906.0
Middle East,,2015,52290240.0
Middle East,,2021,19730016.0
Not classified,,1995,10150115.0
Not classified,,2000,11891885.0
Not classified,,2005,20570262.0
Not classified,,2010,24320432.0
Not classified,,2015,36021100.0
Not classified,,2021,20858964.0
South Asia,,1995,4779760.0
South Asia,,2000,8098234.0
South Asia,,2005,10928877.0
South Asia,,2010,19199696.0
South Asia,,2015,27129520.0
South Asia,,2021,9107196.0
