Entity,Code,Year,Productivity: output per hour worked
Colombia,COL,1950,5.212069
Colombia,COL,1960,6.8252225
Colombia,COL,1970,8.658013
Colombia,COL,1980,13.006309
Colombia,COL,1990,12.202242
Colombia,COL,2000,11.04398
Colombia,COL,2010,13.992607
Colombia,COL,2019,16.958618
Costa Rica,CRI,1990,10.407295
Costa Rica,CRI,2000,11.7755375
Costa Rica,CRI,2010,14.393219
Costa Rica,CRI,2019,20.024153
Hong Kong,HKG,1960,5.949894
Hong Kong,HKG,1970,10.348625
Hong Kong,HKG,1980,16.987736
Hong Kong,HKG,1990,30.08892
Hong Kong,HKG,2000,39.117367
Hong Kong,HKG,2010,47.956963
Hong Kong,HKG,2019,49.118412
Ireland,IRL,1950,5.2342935
Ireland,IRL,1960,7.4512405
Ireland,IRL,1970,10.674877
Ireland,IRL,1980,18.61795
Ireland,IRL,1990,26.439726
Ireland,IRL,2000,46.069473
Ireland,IRL,2010,74.460724
Ireland,IRL,2019,125.09254
Malaysia,MYS,1970,5.2937045
Malaysia,MYS,1980,9.33851
Malaysia,MYS,1990,10.988868
Malaysia,MYS,2000,14.736472
Malaysia,MYS,2010,20.954391
Malaysia,MYS,2019,24.75438
Mexico,MEX,1950,7.838052
Mexico,MEX,1960,12.327988
Mexico,MEX,1970,18.01936
Mexico,MEX,1980,21.832298
Mexico,MEX,1990,16.928875
Mexico,MEX,2000,17.833534
Mexico,MEX,2010,19.41408
Mexico,MEX,2019,20.339481
Peru,PER,1950,2.6484497
Peru,PER,1960,3.8014476
Peru,PER,1970,5.6983523
Peru,PER,1980,6.3007164
Peru,PER,1990,4.977477
Peru,PER,2000,5.830105
Peru,PER,2010,9.678762
Peru,PER,2019,11.008161
Philippines,PHL,1970,3.7410529
Philippines,PHL,1980,4.830546
Philippines,PHL,1990,5.263715
Philippines,PHL,2000,5.7828255
Philippines,PHL,2010,7.1145678
Philippines,PHL,2019,9.929681
Singapore,SGP,1960,3.9006174
Singapore,SGP,1970,9.833744
Singapore,SGP,1980,19.705738
Singapore,SGP,1990,23.198656
Singapore,SGP,2000,30.42399
Singapore,SGP,2010,47.979073
Singapore,SGP,2019,54.55258
Uruguay,URY,1990,13.299828
Uruguay,URY,2000,16.522802
Uruguay,URY,2010,23.218733
Uruguay,URY,2019,28.378277
