Entity,Code,Year,"Labour force participation rate by sex and age -- ILO modelled estimates, July 2015 (%) - 10-year age bands: 25-34 - Sex: Female","Labour force participation rate by sex and age -- ILO modelled estimates, July 2015 (%) - 10-year age bands: 45-54 - Sex: Female",Population (historical estimates),Continent
Africa,,2015,63.852,63.401,1201108186.0,
Algeria,DZA,2015,28.59,15.367,39543148.0,Africa
Angola,AGO,2015,70.453,70.232,28127724.0,Africa
Argentina,ARG,2015,66.809,68.084,43257064.0,South America
Armenia,ARM,2015,56.224,74.033,2878598.0,Asia
Asia,,2015,,,4458250376.0,
Azerbaijan,AZE,2015,72.357,92.532,9863485.0,Asia
Bangladesh,BGD,2015,46.9,57.145,157830000.0,Asia
Bolivia,BOL,2015,71.72,80.505,11090090.0,South America
Brazil,BRA,2015,73.274,64.879,205188208.0,South America
Chile,CHL,2015,70.807,65.978,17870122.0,South America
China,CHN,2015,83.159,73.268,1393715456.0,Asia
Czechia,CZE,2015,67.985,92.092,10523801.0,Europe
East Timor,TLS,2015,32.715,44.731,1205822.0,Asia
Egypt,EGY,2015,32.528,27.125,97723792.0,Africa
Ethiopia,ETH,2015,87.07,81.158,102471896.0,Africa
Europe,,2015,,,743294457.0,
Fiji,FJI,2015,48.715,38.47,917209.0,Oceania
Finland,FIN,2015,76.196,89.399,5479457.0,Europe
Georgia,GEO,2015,60.799,77.867,3771135.0,Asia
Greece,GRC,2015,81.981,67.76,10806644.0,Europe
Guatemala,GTM,2015,49.31,46.841,16001105.0,North America
Haiti,HTI,2015,75.057,82.751,10563762.0,North America
Hungary,HUN,2015,70.447,84.591,9844250.0,Europe
India,IND,2015,30.345,35.291,1322866560.0,Asia
Indonesia,IDN,2015,54.695,63.305,259091968.0,Asia
Iran,IRN,2015,23.238,13.192,81790848.0,Asia
Iraq,IRQ,2015,21.139,18.67,37757812.0,Asia
Italy,ITA,2015,64.963,64.311,60232908.0,Europe
Kuwait,KWT,2015,68.367,34.413,3908745.0,Asia
Lebanon,LBN,2015,40.649,22.105,6398941.0,Asia
Liberia,LBR,2015,69.815,75.997,4612330.0,Africa
Malawi,MWI,2015,91.839,98.131,16938944.0,Africa
Malaysia,MYS,2015,70.008,57.282,31068834.0,Asia
Mali,MLI,2015,51.243,58.108,18112910.0,Africa
Malta,MLT,2015,74.871,47.836,456585.0,Europe
Mauritius,MUS,2015,69.9,51.717,1293159.0,Africa
Mexico,MEX,2015,57.169,54.089,120149896.0,North America
Niger,NER,2015,40.565,49.392,20128132.0,Africa
Nigeria,NGA,2015,49.248,64.435,183995776.0,Africa
North America,,2015,74.638,74.741,570726015.0,
Oceania,,2015,,,40403644.0,
Pakistan,PAK,2015,26.387,29.882,210969296.0,Asia
Palestine,PSE,2015,29.622,20.182,4484615.0,Asia
Puerto Rico,PRI,2015,54.344,48.998,3497335.0,North America
Qatar,QAT,2015,66.829,48.263,2414580.0,Asia
Russia,RUS,2015,81.736,86.768,144668384.0,Europe
Saudi Arabia,SAU,2015,33.938,13.06,32749838.0,Asia
Somalia,SOM,2015,41.602,37.103,13763909.0,Africa
South America,,2015,72.125,66.938,413134461.0,
Suriname,SUR,2015,62.549,53.442,575478.0,South America
Syria,SYR,2015,18.171,14.17,19205178.0,Asia
Taiwan,TWN,2015,66.705,58.864,23512136.0,Asia
Thailand,THA,2015,80.759,79.467,70294408.0,Asia
Tunisia,TUN,2015,44.192,20.594,11557779.0,Africa
Turkey,TUR,2015,42.666,30.337,79646176.0,Asia
Uganda,UGA,2015,87.439,94.26,37477356.0,Africa
United Arab Emirates,ARE,2015,57.779,27.331,8916909.0,Asia
United States,USA,2015,73.868,73.888,324607776.0,North America
Uzbekistan,UZB,2015,59.245,63.213,30949416.0,Asia
Vietnam,VNM,2015,90.77,88.138,92191400.0,Asia
