Entity,Code,Year,LGBT+ Policy Index
Canada,CAN,1991,0.07187681
Canada,CAN,1995,2.0718768
Canada,CAN,2000,5.2329903
Canada,CAN,2005,7.5772514
Canada,CAN,2010,7.713231
Canada,CAN,2015,9.183901
Canada,CAN,2019,9.183901
Cuba,CUB,1991,1.0718768
Cuba,CUB,1995,1.0718768
Cuba,CUB,2000,1.0718768
Cuba,CUB,2005,1.0718768
Cuba,CUB,2010,1.9394126
Cuba,CUB,2015,2.9394126
Cuba,CUB,2019,2.9394126
Indonesia,IDN,1991,-0.9281232
Indonesia,IDN,1995,-0.9281232
Indonesia,IDN,2000,-0.9281232
Indonesia,IDN,2005,-1.2038188
Indonesia,IDN,2010,-0.35429892
Indonesia,IDN,2015,-0.362583
Indonesia,IDN,2019,-1.2850702
North Macedonia,MKD,1991,-0.23071517
North Macedonia,MKD,1995,-0.23071517
North Macedonia,MKD,2000,2.0718768
North Macedonia,MKD,2005,2.0718768
North Macedonia,MKD,2010,2.0718768
North Macedonia,MKD,2015,2.0718768
North Macedonia,MKD,2019,2.0718768
Norway,NOR,1991,6.0
Norway,NOR,1995,7.880821
Norway,NOR,2000,8.880821
Norway,NOR,2005,8.880821
Norway,NOR,2010,10.880821
Norway,NOR,2015,10.880821
Norway,NOR,2019,10.880821
Portugal,PRT,1991,2.0718768
Portugal,PRT,1995,2.0718768
Portugal,PRT,2000,2.0718768
Portugal,PRT,2005,3.0718768
Portugal,PRT,2010,8.071877
Portugal,PRT,2015,8.979804
Portugal,PRT,2019,9.979804
Saint Lucia,LCA,1991,0.07187681
Saint Lucia,LCA,1995,0.07187681
Saint Lucia,LCA,2000,0.07187681
Saint Lucia,LCA,2005,0.07187681
Saint Lucia,LCA,2010,1.0718768
Saint Lucia,LCA,2015,1.0718768
Saint Lucia,LCA,2019,1.0718768
