Entity,Code,Year,Life expectancy,814480-annotations
East Asia (AHDI),,1870,25.0,
East Asia (AHDI),,1880,25.0,
East Asia (AHDI),,1900,25.124338,
East Asia (AHDI),,1960,47.45802,
East Asia (AHDI),,1980,59.38802,
East Asia (AHDI),,2000,69.13442,
East Asia (AHDI),,2020,73.00236,
Eastern Europe (AHDI),,1870,31.717054,
Eastern Europe (AHDI),,1880,32.320293,
Eastern Europe (AHDI),,1900,37.144653,
Eastern Europe (AHDI),,1960,66.91485,
Eastern Europe (AHDI),,1980,70.221725,
Eastern Europe (AHDI),,2000,71.20655,
Eastern Europe (AHDI),,2020,75.14032,
Latin America (AHDI),,1870,26.411604,
Latin America (AHDI),,1880,26.858591,
Latin America (AHDI),,1900,28.940561,
Latin America (AHDI),,1960,56.277367,
Latin America (AHDI),,1980,64.43096,
Latin America (AHDI),,2000,71.19812,
Latin America (AHDI),,2020,72.99582,
Middle East (AHDI),,1870,25.612665,
Middle East (AHDI),,1880,25.893148,
Middle East (AHDI),,1900,26.945425,
Middle East (AHDI),,1960,49.00846,
Middle East (AHDI),,1980,60.045162,
Middle East (AHDI),,2000,70.34674,
Middle East (AHDI),,2020,74.000275,
North Africa (AHDI),,1870,25.0,
North Africa (AHDI),,1880,25.0,
North Africa (AHDI),,1900,26.581661,
North Africa (AHDI),,1960,46.854874,
North Africa (AHDI),,1980,57.946568,
North Africa (AHDI),,2000,68.77993,
North Africa (AHDI),,2020,72.58116,
South Asia (AHDI),,1870,25.0,
South Asia (AHDI),,1880,25.474693,
South Asia (AHDI),,1900,25.10123,
South Asia (AHDI),,1960,43.93278,
South Asia (AHDI),,1980,54.552933,
South Asia (AHDI),,2000,62.889458,
South Asia (AHDI),,2020,69.74995,
Sub Saharan Africa (AHDI),,1870,25.3899,
Sub Saharan Africa (AHDI),,1880,25.497128,
Sub Saharan Africa (AHDI),,1900,26.081434,
Sub Saharan Africa (AHDI),,1960,40.22872,
Sub Saharan Africa (AHDI),,1980,48.24318,
Sub Saharan Africa (AHDI),,2000,51.288128,
Sub Saharan Africa (AHDI),,2020,60.968952,
Western Europe (AHDI),,1870,37.12049,
Western Europe (AHDI),,1880,39.63896,
Western Europe (AHDI),,1900,45.037857,
Western Europe (AHDI),,1960,69.90545,
Western Europe (AHDI),,1980,74.01017,
Western Europe (AHDI),,2000,78.56212,
Western Europe (AHDI),,2020,81.64446,
Western offshoots (AHDI),,1870,44.064034,"United States, Canada, Australia and New Zealand"
Western offshoots (AHDI),,1880,40.31903,"United States, Canada, Australia and New Zealand"
Western offshoots (AHDI),,1900,49.578804,"United States, Canada, Australia and New Zealand"
Western offshoots (AHDI),,1960,69.98515,"United States, Canada, Australia and New Zealand"
Western offshoots (AHDI),,1980,73.89616,"United States, Canada, Australia and New Zealand"
Western offshoots (AHDI),,2000,77.21493,"United States, Canada, Australia and New Zealand"
Western offshoots (AHDI),,2020,78.36578,"United States, Canada, Australia and New Zealand"
