Entity,Code,Year,Gini coefficient of lifespan inequality - Sex: female,Life expectancy - Sex: all - Age: at birth - Variant: estimates,Population,Continent
Africa,,2021,,,1393676724.0,
Africa (UN),,2021,0.19900668,61.7,1393676416.0,
Asia,,2021,,,4693332132.0,
Asia (UN),,2021,0.12676987,72.5,4694576128.0,
Belarus,BLR,2021,0.08736182,72.4,9578172.0,
Belize,BLZ,2021,0.1239335,70.5,400037.0,
Bolivia,BOL,2021,0.14354989,63.6,12079474.0,
China,CHN,2021,0.08612957,78.2,1425893504.0,
Democratic Republic of Congo,COD,2021,0.21434873,59.2,95894120.0,
Eswatini,SWZ,2021,0.19446246,57.1,1192273.0,
Ethiopia,ETH,2021,0.15986548,65.0,120283024.0,
Europe,,2021,,,746417727.0,
Germany,DEU,2021,0.08033355,80.6,83408560.0,
Guinea,GIN,2021,0.23139249,58.9,13531909.0,
High-income countries,,2021,0.08818669,80.3,1219584303.0,
India,IND,2021,0.14249314,67.2,1407563904.0,
Indonesia,IDN,2021,0.12901565,67.6,273753184.0,
Iran,IRN,2021,0.09792688,73.9,87923432.0,
Japan,JPN,2021,0.06931109,84.8,124612528.0,
Kuwait,KWT,2021,0.07534318,78.7,4250111.0,
Latin America and the Caribbean (UN),,2021,0.11613,72.2,656098112.0,
Lesotho,LSO,2021,0.23987974,53.1,2281464.0,
Low-income countries,,2021,0.18817331,62.5,698782037.0,
Mozambique,MOZ,2021,0.18762599,59.3,32077074.0,
Nigeria,NGA,2021,0.28744233,52.7,213401328.0,
North America,,2021,,,597123384.0,
Oceania,,2021,,,44492065.0,
Russia,RUS,2021,0.107577406,69.4,145102752.0,
Serbia,SRB,2021,0.083469324,74.2,7296771.0,
Somalia,SOM,2021,0.25064042,55.3,17065588.0,
South Africa,ZAF,2021,0.17143081,62.3,59392256.0,
South America,,2021,,,434254167.0,
South Sudan,SSD,2021,0.2612176,55.0,10748278.0,
Turkey,TUR,2021,0.085854515,76.0,84775408.0,
Uganda,UGA,2021,0.15936361,62.7,45853780.0,
Ukraine,UKR,2021,0.10001324,71.6,43531424.0,
Upper-middle-income countries,,2021,0.100717805,75.3,2548718303.0,
World,OWID_WRL,2021,0.1442437,71.0,7909295104.0,
