Entity,Code,Year,Cantril ladder score,Annual CO₂ emissions (per capita),Continent
Afghanistan,AFG,2022,1.859,0.29536375,
Africa,,2022,,0.99422127,
Albania,ALB,2022,5.2773,1.7432004,
Algeria,DZA,2022,5.3291,3.9272263,
Argentina,ARG,2022,6.0237,4.2378173,
Asia,,2022,,4.611434,
Australia,AUS,2022,7.0946,14.985412,
Austria,AUT,2022,7.0973,6.8781943,
Bahrain,BHR,2022,6.1732,25.672274,
Bangladesh,BGD,2022,4.2821,0.5964455,
Belgium,BEL,2022,6.8591,7.6875386,
Bolivia,BOL,2022,5.6843,1.7583066,
Bosnia and Herzegovina,BIH,2022,5.6325,6.1034565,
Botswana,BWA,2022,3.4353,2.838951,
Brazil,BRA,2022,6.1246,2.2454574,
Burkina Faso,BFA,2022,4.6376,0.26295447,
Cambodia,KHM,2022,4.3935,1.1900775,
Cameroon,CMR,2022,4.9732,0.34292704,
Chad,TCD,2022,4.3966,0.13367727,
Chile,CHL,2022,6.3338,4.3041654,
Comoros,COM,2022,3.5452,0.49327007,
Congo,COG,2022,5.2671,1.2447897,
Costa Rica,CRI,2022,6.6085,1.5226681,
Democratic Republic of Congo,COD,2022,3.2072,0.036375992,
Denmark,DNK,2022,7.5864,4.940161,
Egypt,EGY,2022,4.1705,2.333106,
El Salvador,SLV,2022,6.1216,1.2174718,
Estonia,EST,2022,6.4552,7.77628,
Ethiopia,ETH,2022,4.0906,0.15458965,
Europe,,2022,,6.8578663,
Finland,FIN,2022,7.8042,6.5267396,
France,FRA,2022,6.6613,4.603891,
Gabon,GAB,2022,5.0347,2.3882635,
Gambia,GMB,2022,4.2794,0.2847278,
Ghana,GHA,2022,4.605,0.6215505,
Iceland,ISL,2022,7.5296,9.499798,
Iran,IRN,2022,4.8763,7.7993317,
Iraq,IRQ,2022,4.9409,4.024638,
Italy,ITA,2022,6.4045,5.726825,
Japan,JPN,2022,6.129,8.501681,
Lebanon,LBN,2022,2.3922,4.3543963,
Malawi,MWI,2022,3.4952,0.10262384,
Malta,MLT,2022,6.2999,3.1035979,
Mauritania,MRT,2022,4.7239,0.957337,
Montenegro,MNE,2022,5.7222,3.6558185,
Namibia,NAM,2022,4.6308,1.5399038,
Nepal,NPL,2022,5.3603,0.5074035,
Nigeria,NGA,2022,4.9806,0.5891771,
North America,,2022,,10.5346775,
Oceania,,2022,,9.85179,
Saudi Arabia,SAU,2022,6.4626,18.197495,
Sierra Leone,SLE,2022,3.1376,0.13124847,
South Africa,ZAF,2022,5.2746,6.7461643,
South America,,2022,,2.4865332,
South Korea,KOR,2022,5.9511,11.598764,
Switzerland,CHE,2022,7.2401,4.0478554,
Tanzania,TZA,2022,3.6938,0.23771806,
Tunisia,TUN,2022,4.4967,2.879285,
Turkey,TUR,2022,4.6135,5.1052055,
Zambia,ZMB,2022,3.9822,0.44570068,
Zimbabwe,ZWE,2022,3.2035,0.542628,
