Entity,Code,Year,Life expectancy - Sex: all - Age: at birth - Variant: estimates,Cantril ladder score,Population (historical estimates),Continent
Afghanistan,AFG,2021,62.0,2.4038,40099460.0,
Africa,,2021,,,1393676724.0,
Algeria,DZA,2021,76.4,5.1223,44177964.0,
Argentina,ARG,2021,75.4,5.967,45276788.0,
Asia,,2021,,,4693332132.0,
Bahrain,BHR,2021,78.8,6.6469,1463266.0,
Bangladesh,BGD,2021,72.4,5.1555,169356240.0,
Brazil,BRA,2021,72.8,6.2928,214326224.0,
Canada,CAN,2021,82.7,7.0251,38155012.0,
Chad,TCD,2021,52.5,4.2508,17179744.0,
China,CHN,2021,78.2,5.5853,1425893504.0,
Colombia,COL,2021,72.8,5.7806,51516560.0,
Costa Rica,CRI,2021,77.0,6.582,5153959.0,
Democratic Republic of Congo,COD,2021,59.2,,95894120.0,
Egypt,EGY,2021,70.2,4.2877,109262184.0,
Eswatini,SWZ,2021,57.1,4.3961,1192273.0,
Europe,,2021,,,746417727.0,
France,FRA,2021,82.5,6.6867,64531448.0,
Gabon,GAB,2021,65.8,4.9583,2341185.0,
Germany,DEU,2021,80.6,7.0341,83408560.0,
Ghana,GHA,2021,63.8,4.872,32833036.0,
Hong Kong,HKG,2021,85.5,5.4248,7494580.0,
India,IND,2021,67.2,3.7771,1407563904.0,
Indonesia,IDN,2021,67.6,5.2396,273753184.0,
Iran,IRN,2021,73.9,4.8879,87923432.0,
Iraq,IRQ,2021,70.4,4.9409,43533592.0,
Italy,ITA,2021,82.9,6.4667,59240336.0,
Japan,JPN,2021,84.8,6.0389,124612528.0,
Jordan,JOR,2021,74.3,4.1521,11148288.0,
Kenya,KEN,2021,61.4,4.543,53005616.0,
Lebanon,LBN,2021,75.0,2.9553,5592626.0,
Lesotho,LSO,2021,53.1,3.5118,2281464.0,
Malawi,MWI,2021,62.9,3.7504,19889742.0,
Mali,MLI,2021,58.9,4.479,21904990.0,
Mexico,MEX,2021,70.2,6.1276,126705136.0,
Mozambique,MOZ,2021,59.3,5.0483,32077074.0,
Netherlands,NLD,2021,81.7,7.4149,17501696.0,
Nigeria,NGA,2021,52.7,4.552,213401328.0,
North America,,2021,,,597123384.0,
Oceania,,2021,,,44492065.0,
Pakistan,PAK,2021,66.1,4.5158,231402112.0,
Paraguay,PRY,2021,70.3,5.5783,6703802.0,
Portugal,PRT,2021,81.0,6.0163,10290109.0,
Rwanda,RWA,2021,66.1,3.2682,13461891.0,
Slovakia,SVK,2021,74.9,6.3907,5447621.0,
Slovenia,SVN,2021,80.7,6.6301,2119408.0,
South Africa,ZAF,2021,62.3,5.1939,59392256.0,
South America,,2021,,,434254167.0,
Sri Lanka,LKA,2021,76.4,4.3622,21773438.0,
Tanzania,TZA,2021,66.2,3.7024,63588332.0,
Thailand,THA,2021,78.7,5.8912,71601104.0,
Togo,TGO,2021,61.6,4.1123,8644829.0,
Tunisia,TUN,2021,73.8,4.516,12262949.0,
Turkey,TUR,2021,76.0,4.7442,84775408.0,
United States,USA,2021,77.2,6.9768,336997632.0,
Yemen,YEM,2021,63.8,4.1969,32981644.0,
Zambia,ZMB,2021,61.2,3.7598,19473132.0,
