Entity,Code,Year,Lifetime risk of maternal death (%)
Brazil,BRA,2000,0.17294215
Brazil,BRA,2002,0.16147403
Brazil,BRA,2004,0.15641753
Brazil,BRA,2006,0.14836234
Brazil,BRA,2008,0.13822457
Brazil,BRA,2010,0.12262713
Brazil,BRA,2012,0.111023076
Brazil,BRA,2014,0.11346865
Brazil,BRA,2016,0.11155831
Brazil,BRA,2017,0.10625155
China,CHN,2000,0.09913623
China,CHN,2002,0.08387754
China,CHN,2004,0.07265702
China,CHN,2006,0.06572728
China,CHN,2008,0.063182116
China,CHN,2010,0.056879707
China,CHN,2012,0.052844197
China,CHN,2014,0.050272197
China,CHN,2016,0.04802765
China,CHN,2017,0.04720116
India,IND,2000,1.32094
India,IND,2002,1.1537418
India,IND,2004,0.9985347
India,IND,2006,0.8516717
India,IND,2008,0.7169788
India,IND,2010,0.591637
India,IND,2012,0.49099445
India,IND,2014,0.4175707
India,IND,2016,0.36466998
India,IND,2017,0.3467163
Niger,NER,2000,6.379013
Niger,NER,2002,6.247597
Niger,NER,2004,6.0240855
Niger,NER,2006,5.773908
Niger,NER,2008,5.5205464
Niger,NER,2010,5.1396112
Niger,NER,2012,4.740304
Niger,NER,2014,4.3457165
Niger,NER,2016,3.947402
Niger,NER,2017,3.7567596
Nigeria,NGA,2000,6.9170384
Nigeria,NGA,2002,6.7549186
Nigeria,NGA,2004,6.4016824
Nigeria,NGA,2006,5.8939676
Nigeria,NGA,2008,5.6378565
Nigeria,NGA,2010,5.4983377
Nigeria,NGA,2012,5.3560576
Nigeria,NGA,2014,5.1790795
Nigeria,NGA,2016,4.965681
Nigeria,NGA,2017,4.856686
Poland,POL,2000,0.00898043
Poland,POL,2002,0.006894176
Poland,POL,2004,0.0061102817
Poland,POL,2006,0.0056056827
Poland,POL,2008,0.005020894
Poland,POL,2010,0.004148212
Poland,POL,2012,0.0038284918
Poland,POL,2014,0.0035589125
Poland,POL,2016,0.0034770651
Poland,POL,2017,0.003298487
United States,USA,2000,0.022903653
United States,USA,2002,0.024909804
United States,USA,2004,0.02579499
United States,USA,2006,0.027052391
United States,USA,2008,0.027659727
United States,USA,2010,0.028222233
United States,USA,2012,0.02910226
United States,USA,2014,0.030158889
United States,USA,2016,0.034195304
United States,USA,2017,0.033557296
